Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
0,62.5055,7.10158e+06,0.771025,0,4,False,
3,56.6806,7.83138e+06,1.99096,0,14,True,
4,65.7633,6.74978e+06,1.43015,0,7,True,
5,28.56,1.55423e+07,0.793279,0,3,False,
6,56.8548,7.80739e+06,1.62951,0,9,True,
7,343.046,1.29396e+06,1.07441,0,2,False,
8,35.2116,1.26063e+07,1.14883,0,5,True,
11,281.796,1.57521e+06,1.53933,0,2,False,
13,547.481,810781,2.78339,0,2,False,
14,85.1877,5.2107e+06,3.03667,0,42,True,
15,515.152,861663,1.35191,0,3,False,
16,75.873,5.8504e+06,1.50887,0,3,False,
17,48.7866,9.09855e+06,2.45131,0,4,False,
18,55.1769,8.04481e+06,2.42589,0,13,True,
19,2724.87,162902,0.203289,7,3,False,
20,24.6962,1.79739e+07,1.56636,0,2,False,
21,52.8453,8.39976e+06,2.15274,0,6,True,
22,97.3598,4.55925e+06,3.08804,0,86,True,
24,52.0415,8.5295e+06,2.7029,0,43,True,
26,38.6778,1.14766e+07,2.4093,0,3,False,
27,6574.99,67511.5,2.71573,0,3,False,
28,112.035,3.96205e+06,2.07833,0,4,False,
29,56.9783,7.79047e+06,2.56804,0,24,True,
30,95.9407,4.62669e+06,3.38041,0,2,False,
31,96.8519,4.58316e+06,3.38771,0,19,True,
32,474.042,936389,3.06301,11,2,False,
33,94.2272,4.71082e+06,3.49662,0,13,True,
34,682.329,650548,3.10067,0,2,False,
35,74.6637,5.94516e+06,2.95372,0,13,True,
36,114.393,3.88036e+06,2.70724,0,4,False,
37,6813.02,65152.8,2.64315,15,2,False,
38,105.95,4.18959e+06,2.82536,0,3,False,
39,80.2902,5.52854e+06,3.76295,0,82,True,
41,81.1887,5.46736e+06,3.44943,0,24,True,
43,167.216,2.65458e+06,2.61418,0,2,False,
44,391.028,1.13518e+06,3.83268,0,2,False,
46,262.299,1.6923e+06,3.62293,0,2,False,
47,687.846,645330,3.15112,98,2,False,
48,243.86,1.82026e+06,3.65866,0,3,False,
49,77.231,5.74753e+06,4.08808,0,5,True,
50,114.818,3.86602e+06,4.43329,98,2,False,
51,613.951,723002,4.45217,0,2,False,
52,57.0018,7.78726e+06,3.63395,0,76,True,
54,72.7714,6.09975e+06,4.56722,0,28,True,
55,247.177,1.79583e+06,5.11735,13,2,False,
56,132.496,3.35019e+06,4.62225,0,4,False,
57,312.826,1.41896e+06,4.67621,0,100,True,
58,95.4662,4.64968e+06,4.58396,0,100,True,
59,82.4147,5.38603e+06,4.82718,0,15,True,
60,103.623,4.28367e+06,5.31277,0,100,True,
61,82.9656,5.35026e+06,5.26931,0,43,True,
