Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
1,206.138,2.15755e+06,1.47048,0,12,True,
2,95.2402,4.6698e+06,2.49915,0,6,True,
4,70.0291,6.35097e+06,3.02653,0,16,True,
5,94.2226,4.72023e+06,0.808877,0,7,True,
7,62.9445,7.06579e+06,1.99934,0,17,True,
8,65.6126,6.77847e+06,1.29693,0,3,False,
9,191.986,2.31659e+06,0.758896,0,7,True,
10,75.964,5.85478e+06,1.29693,0,2,False,
13,93.1819,4.77295e+06,1.41665,0,4,False,
16,69.2572,6.42175e+06,1.45499,0,6,True,
17,377.591,1.17787e+06,1.85221,0,7,False,
18,248.209,1.79185e+06,0.420958,0,2,False,
19,447.9,992973,1.07441,0,5,False,
20,127.248,3.49517e+06,0.804223,0,2,False,
21,238.187,1.86724e+06,1.70156,0,4,False,
22,65.0466,6.83744e+06,0.776635,0,3,False,
24,20.8359,2.13455e+07,0.742492,0,3,False,
25,51.6993,8.60269e+06,1.08884,0,6,True,
26,909.097,489225,1.55795,1,10,False,
27,390.817,1.13801e+06,1.22454,0,2,False,
28,24.7786,1.79491e+07,0.83107,0,3,False,
29,262.299,1.6956e+06,-0.186176,0,2,False,
31,136.176,3.26602e+06,2.8545,0,6,True,
32,154.643,2.87599e+06,3.2897,0,6,True,
33,128.389,3.4641e+06,1.59268,0,2,False,
34,72.7569,6.11286e+06,2.06044,0,15,True,
35,42.6206,1.04352e+07,1.5055,0,8,True,
36,77.1752,5.76289e+06,2.84893,0,45,True,
37,92.9464,4.78504e+06,2.38138,0,11,True,
38,54.9716,8.09059e+06,2.11188,0,9,True,
41,82.185,5.41161e+06,2.89022,0,37,True,
42,48.161,9.2347e+06,2.11751,0,2,False,
43,94.7086,4.69601e+06,2.17716,0,2,False,
44,107.704,4.12939e+06,2.70785,0,4,False,
45,84.0829,5.28946e+06,2.22758,0,10,True,
47,136.628,3.25522e+06,1.94458,0,3,False,
48,79.1172,5.62144e+06,1.79974,19,2,False,
50,93.2522,4.76935e+06,4.11811,0,45,True,
51,81.679,5.44513e+06,2.80183,0,4,False,
52,116.169,3.82849e+06,3.65293,0,23,True,
53,200.224,2.22127e+06,3.03446,0,2,False,
54,65.3588,6.80478e+06,3.28596,0,57,True,
55,56.7248,7.84053e+06,2.63795,0,2,False,
56,79.7471,5.57704e+06,2.85927,0,33,True,
57,9884.57,44994.7,2.75246,3,2,False,
58,863.511,515051,2.80497,0,3,False,
59,218.256,2.03775e+06,3.22196,0,6,True,
60,6882.71,64618.8,2.08099,25,3,False,
61,111.615,3.98469e+06,3.62703,0,78,True,
62,1910.16,232835,3.46377,0,2,False,
63,554.771,801687,4.10779,6,3,False,
64,123.195,3.61014e+06,3.83891,0,22,True,
65,86.9886,5.11277e+06,4.10843,0,72,True,
66,87.876,5.06114e+06,3.56696,0,49,True,
67,699.489,635825,3.56836,0,2,False,
68,65.5254,6.78748e+06,3.38165,0,2,False,
69,165.484,2.68758e+06,3.42948,0,2,False,
70,90.5966,4.90915e+06,3.58438,0,5,True,
71,73.972,6.01245e+06,3.73769,0,20,True,
72,135.89,3.27288e+06,2.88468,0,12,True,
