Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
0,59.4286,7.45964e+06,1.55615,0,12,True,
1,98.5065,4.50037e+06,3.64402,0,24,True,
2,41.8932,1.0582e+07,0.695076,0,3,False,
4,255.607,1.73436e+06,1.99381,1,2,False,
5,98.6184,4.49526e+06,0.599614,0,9,True,
7,37.4165,1.18481e+07,0.983137,0,2,False,
8,132.302,3.35079e+06,1.10206,0,4,False,
9,1239.42,357681,0.695076,0,3,False,
13,129.71,3.41774e+06,2.26312,0,5,True,
14,82.2451,5.39018e+06,2.07261,3,2,False,
15,58.024,7.64021e+06,0.996697,0,6,True,
16,549.269,807102,0.695076,0,3,False,
17,72.7731,6.09175e+06,1.94022,0,2,False,
18,150.564,2.94436e+06,0.606269,0,2,False,
19,196.979,2.25057e+06,1.88914,0,7,True,
20,853.235,519570,1.55101,1,3,False,
21,77.5935,5.71331e+06,2.86044,0,2,False,
23,141.008,3.14391e+06,1.85927,0,3,False,
24,27.5103,1.61145e+07,1.92703,0,8,True,
25,143.713,3.08473e+06,2.72054,0,2,False,
26,101.014,4.38866e+06,2.61258,0,5,True,
27,67.5068,6.56698e+06,2.34496,0,3,False,
28,78.1391,5.67341e+06,2.66599,0,10,True,
29,154.904,2.86188e+06,2.49715,0,3,False,
30,191.135,2.31938e+06,2.37369,0,5,True,
31,36.232,1.22355e+07,2.44421,0,2,False,
32,68.1238,6.5075e+06,2.10417,0,29,True,
33,138.146,3.20904e+06,3.18591,0,42,True,
34,113.798,3.89563e+06,3.07394,0,27,True,
36,47104.6,9411.3,2.68135,1,2,False,
37,62.2338,7.12339e+06,2.57261,0,100,True,
38,82.5899,5.36767e+06,2.74663,0,2,False,
40,67.78,6.54051e+06,2.14308,0,10,True,
41,632.603,700780,2.29781,3,2,False,
42,49.2418,9.00283e+06,2.36382,0,18,True,
43,93.3935,4.74675e+06,3.49082,0,12,True,
44,81.4812,5.44071e+06,2.48151,0,2,False,
45,448.919,987518,3.20434,0,2,False,
46,60.1283,7.37283e+06,3.42289,0,18,True,
47,71.0569,6.23888e+06,2.5393,0,3,False,
48,115.355,3.84305e+06,3.55744,0,19,True,
50,66.4138,6.67506e+06,2.66751,0,12,True,
53,77.4023,5.72742e+06,3.72546,0,42,True,
54,100.89,4.39403e+06,3.45086,0,70,True,
