Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
2,74.6026,6.00008e+06,2.66379,0,16,True,
3,33.6373,1.33073e+07,2.11123,0,4,False,
4,62.4416,7.16865e+06,1.37192,0,3,False,
6,660.337,677869,1.62679,0,2,False,
7,55.4431,8.07353e+06,1.53299,0,2,False,
8,92.8978,4.81843e+06,2.5307,0,6,True,
9,126.255,3.54538e+06,1.44886,0,6,True,
10,212.494,2.10652e+06,0.914168,0,2,False,
11,84.6011,5.29097e+06,1.97914,0,3,False,
13,51.4739,8.6961e+06,2.62638,0,18,True,
14,49.926,8.9657e+06,1.10534,0,4,False,
20,46.4588,9.63482e+06,2.58615,0,9,True,
21,424.236,1.05512e+06,1.32337,0,2,False,
22,197.266,2.26912e+06,3.30351,0,3,False,
23,59.9382,7.46805e+06,3.74031,0,9,True,
24,47562.1,9411.3,3.45573,0,2,False,
25,63.1855,7.08424e+06,3.13289,0,38,True,
26,112.767,3.96942e+06,2.84037,0,19,True,
27,156.36,2.86277e+06,3.19918,0,5,True,
28,234.661,1.90752e+06,2.35866,0,3,False,
30,96.7376,4.62717e+06,3.11513,38,2,False,
32,162.041,2.7624e+06,2.81577,0,5,True,
33,108.537,4.12414e+06,2.35229,0,8,True,
34,74.3201,6.02289e+06,3.18965,0,25,True,
35,95.315,4.69624e+06,3.27178,0,13,True,
36,80.4716,5.56248e+06,2.69494,0,3,False,
37,54.3049,8.24275e+06,3.16966,0,44,True,
38,99.6003,4.49418e+06,4.44234,13,2,False,
39,482.705,927319,3.02914,0,2,False,
40,93.5351,4.7856e+06,3.44628,0,12,True,
41,50.5386,8.85702e+06,2.33664,0,22,True,
42,55.3396,8.08863e+06,3.14876,0,2,False,
45,70.1607,6.37995e+06,3.09735,0,18,True,
48,618.037,724264,1.36896,9,2,False,
49,281.411,1.59064e+06,2.60762,0,3,False,
50,147.44,3.03596e+06,3.17644,0,3,False,
51,100.401,4.45835e+06,2.79114,0,2,False,
52,73.1057,6.12294e+06,2.77029,0,5,True,
53,74.8298,5.98187e+06,4.97682,0,100,True,
55,458.953,975310,4.03836,0,2,False,
56,958.448,467028,4.19152,0,2,False,
57,156.962,2.85179e+06,3.90316,0,13,True,
58,73.8308,6.06281e+06,3.87184,0,53,True,
59,381.471,1.17341e+06,3.59006,0,2,False,
60,278.747,1.60583e+06,4.09926,0,6,False,
61,371.484,1.20496e+06,4.20625,0,3,False,
62,707.32,632842,3.2556,0,2,False,
63,101.239,4.42143e+06,3.78818,0,5,True,
64,85.0383,5.26377e+06,3.59728,0,4,False,
65,4368.66,102462,4.0251,0,3,False,
66,66.1356,6.76824e+06,4.25667,0,56,True,
67,77.2452,5.79482e+06,3.2832,0,14,True,
68,86.7021,5.16276e+06,3.31906,0,8,True,
69,41.6085,1.07579e+07,3.09577,0,6,True,
71,70.2657,6.37041e+06,3.73392,0,55,True,
72,63.355,7.0653e+06,3.7365,0,19,True,
73,157.231,2.84691e+06,3.87539,0,8,True,
74,727.997,614868,3.85594,1,2,False,
75,84.3902,5.30419e+06,4.38764,0,82,True,
76,100.631,4.44813e+06,3.64253,0,25,True,
77,1153.8,387954,4.40418,0,5,False,
78,71.081,6.29735e+06,4.10748,0,16,True,
79,103.085,4.34228e+06,3.9298,0,14,True,
80,86.358,5.18332e+06,4.3054,0,100,True,
81,266.035,1.68257e+06,4.47838,0,2,False,
83,809.686,552834,2.75168,39,3,False,
85,484.32,924227,4.34861,0,2,False,
86,116.346,3.84734e+06,3.8149,0,8,True,
87,82.307,5.43844e+06,4.67868,0,33,True,
90,73.588,6.08281e+06,4.86824,0,39,True,
92,95.2218,4.70083e+06,4.505,0,34,True,
93,92.9456,4.81595e+06,4.72829,0,5,True,
94,37.206,1.20309e+07,4.70896,1,2,False,
96,47562.1,9411.3,4.90999,0,3,False,
97,65.1491,6.87073e+06,4.78525,7,2,False,
98,83.0838,5.38759e+06,4.6621,0,48,True,
99,84.85,5.27545e+06,4.72696,0,4,False,
100,80.4084,5.56685e+06,4.93412,0,15,True,
101,61.5686,7.2703e+06,4.10638,0,60,True,
103,25.6751,1.74341e+07,5.08773,0,2,False,
104,49.8467,8.97997e+06,4.84951,0,5,True,
105,75.0967,5.96061e+06,4.56414,0,31,True,
106,133.875,3.34357e+06,4.47687,0,5,True,
107,72.7716,6.15105e+06,4.555,0,54,True,
108,47562.1,9411.3,5.03352,10,2,False,
109,84.7194,5.28358e+06,5.23023,0,43,True,
110,76.5717,5.84578e+06,5.38029,0,11,True,
111,128.837,3.47434e+06,5.12102,0,8,True,
114,75.725,5.91115e+06,5.20954,0,10,True,
117,94.3707,4.74323e+06,5.3603,0,49,True,
119,86.7027,5.16272e+06,5.09766,0,68,True,
120,282.404,1.58504e+06,5.67355,1,2,False,
122,84.2642,5.31212e+06,5.46785,0,8,True,
123,68.149,6.56828e+06,5.15357,0,6,True,
124,677.76,660443,5.94429,0,2,False,
125,97.7479,4.57935e+06,6.50291,0,100,True,
126,91.3285,4.90123e+06,5.59114,0,100,True,
127,121.287,3.69061e+06,5.29604,0,50,True,
128,76.7075,5.83544e+06,5.78319,0,50,True,
129,62.2256,7.19353e+06,5.1475,0,28,True,
130,114.308,3.91593e+06,5.88454,0,35,True,
131,104.148,4.29792e+06,5.1947,0,45,True,
132,104.889,4.26758e+06,5.10849,39,2,False,
133,76.7381,5.83311e+06,5.51997,0,12,True,
134,99.6026,4.49408e+06,5.99876,0,49,True,
135,77.9372,5.74337e+06,6.37603,0,2,False,
136,69.1139,6.47658e+06,6.02491,0,20,True,
137,112.61,3.97496e+06,5.83711,0,71,True,
138,151.225,2.95997e+06,6.25289,0,2,False,
139,95.3326,4.69537e+06,6.6085,56,2,False,
140,102.647,4.3608e+06,6.41837,0,100,True,
141,32816.1,13640.3,6.49677,0,2,False,
142,127.284,3.51673e+06,6.88709,0,90,True,
143,104.386,4.28813e+06,6.33263,0,100,True,
144,480.354,931858,5.70903,76,3,False,
148,227.144,1.97065e+06,2.01558,1,2,False,
150,2174.18,205881,3.18566,1,2,False,
151,13499,33159.7,2.27702,2,2,False,
152,81.8349,5.46982e+06,2.86048,1,10,True,
153,90.1038,4.96785e+06,3.23098,1,4,False,
154,65.0066,6.88578e+06,1.99911,1,4,False,
155,4335.87,103237,3.63265,1,2,False,
156,105.743,4.2331e+06,3.28238,1,11,True,
158,25.0005,1.79045e+07,4.07236,1,2,False,
160,239.364,1.87005e+06,4.38899,1,2,False,
161,506.341,884033,4.89069,2,2,False,
163,90.0259,4.97214e+06,1.43505,2,6,True,
165,434.377,1.03049e+06,3.1813,2,3,False,
169,173.442,2.58081e+06,2.84824,2,3,False,
170,52.1104,8.58987e+06,3.22473,2,16,True,
171,78.6638,5.69032e+06,2.72188,2,39,True,
173,58.5415,7.64623e+06,4.10524,2,10,True,
174,155.163,2.88486e+06,3.99632,2,6,True,
175,60.3652,7.41523e+06,4.20592,2,28,True,
178,122.881,3.64272e+06,4.45789,2,6,True,
179,70.0212,6.39266e+06,4.5465,2,18,True,
180,70.5012,6.34914e+06,4.68899,2,20,True,
181,188.805,2.37082e+06,4.25466,33,2,False,
183,90.6386,4.93853e+06,4.74098,2,23,True,
184,89.7843,4.98552e+06,4.88488,2,38,True,
185,109.57,4.08526e+06,4.99061,2,6,True,
186,37.041,1.20845e+07,4.32987,2,5,True,
187,76.0836,5.88329e+06,4.52989,2,16,True,
188,133.735,3.34709e+06,5.10637,2,3,False,
189,80.4481,5.56411e+06,5.3225,2,10,True,
190,26.5068,1.6887e+07,5.46021,8,2,False,
191,72.7275,6.15478e+06,5.44629,2,8,True,
192,785.681,569725,5.39431,2,2,False,
193,159.056,2.81424e+06,5.38856,2,2,False,
194,105.344,4.24914e+06,5.92891,2,52,True,
195,272.797,1.64086e+06,6.59307,18,2,False,
196,108.974,4.10761e+06,6.12781,2,6,True,
197,88.0763,5.0822e+06,5.99469,2,100,True,
198,101.843,4.39522e+06,2.42695,3,5,True,
201,289.645,1.54541e+06,1.35097,3,2,False,
203,157.421,2.84348e+06,1.51775,3,2,False,
204,22.2945,2.00776e+07,2.92475,3,4,False,
205,235.933,1.89724e+06,3.46344,11,2,False,
206,955.137,468647,3.88468,3,3,False,
207,54.8078,8.16712e+06,3.89732,3,2,False,
209,91.3232,4.90151e+06,4.42724,3,11,True,
210,38.5599,1.16085e+07,4.88037,3,2,False,
211,71.3009,6.27793e+06,4.82557,3,20,True,
212,242.389,1.84671e+06,4.40795,3,2,False,
214,58.075,7.70766e+06,5.72608,3,2,False,
215,345.601,1.2952e+06,0.968826,4,2,False,
216,58.8216,7.60982e+06,2.16118,4,7,True,
217,444.378,1.0073e+06,0.56469,4,2,False,
219,141.167,3.17086e+06,1.20465,4,6,True,
221,63.8447,7.01111e+06,2.57079,4,2,False,
223,207.254,2.15977e+06,2.81521,4,3,False,
224,49.1081,9.11503e+06,2.86035,4,3,False,
225,75.7499,5.90921e+06,1.80312,4,6,True,
227,2141.31,209041,2.7997,5,2,False,
229,60.7235,7.37147e+06,3.09258,4,35,True,
232,126.63,3.53489e+06,2.98113,4,3,False,
233,226.588,1.97548e+06,3.95869,4,2,False,
235,41.6017,1.07597e+07,4.96673,4,4,False,
236,89.4086,5.00647e+06,2.49296,5,35,True,
237,93.1184,4.80702e+06,2.65058,16,2,False,
241,69.1032,6.47759e+06,3.62707,5,18,True,
242,208.348,2.14843e+06,3.95802,5,2,False,
244,41848.6,10696.2,4.32153,103,2,False,
245,72.5674,6.16836e+06,4.1701,5,5,True,
246,117.645,3.80484e+06,4.95495,5,2,False,
248,1097.71,407778,4.94818,24,3,False,
252,80.9424,5.53013e+06,2.53533,10,2,False,
256,47562.1,9411.3,1.75583,6,2,False,
257,51.692,8.6594e+06,0.584414,6,2,False,
259,206.165,2.17118e+06,0.120641,13,2,False,
260,98.64,4.53793e+06,2.60955,6,8,True,
263,47.1059,9.50246e+06,3.34719,6,2,False,
264,61.4322,7.28644e+06,3.01533,6,11,True,
265,98.4121,4.54844e+06,3.99966,6,38,True,
267,49.2614,9.08666e+06,4.34179,6,3,False,
268,542.857,824567,4.89451,6,4,False,
269,47562.1,9411.3,4.95815,6,2,False,
270,99.2392,4.51053e+06,5.18781,6,7,True,
271,176.971,2.52935e+06,4.85258,6,3,False,
272,310.336,1.44238e+06,4.66588,42,4,False,
273,57.1221,7.83622e+06,2.24537,7,6,True,
274,23.2295,1.92695e+07,1.5628,7,2,False,
277,192.901,2.32047e+06,1.19409,7,2,False,
278,90.1588,4.96481e+06,4.58507,7,28,True,
279,33.0687,1.35361e+07,3.70287,7,4,False,
280,43.3024,1.03371e+07,4.22179,7,4,False,
281,32.0503,1.39662e+07,3.63951,7,7,True,
283,136.479,3.27979e+06,3.47976,7,2,False,
284,63.7895,7.01717e+06,3.91331,7,6,True,
285,106.092,4.21918e+06,4.5641,7,6,True,
288,183.51,2.43922e+06,5.54008,7,5,True,
292,397.829,1.12516e+06,3.31969,35,2,False,
293,205.744,2.17563e+06,0.826134,8,2,False,
295,142.986,3.13053e+06,1.41256,8,2,False,
296,62.3763,7.17615e+06,2.45207,8,9,True,
298,109.435,4.09029e+06,2.9343,8,5,True,
299,63.7766,7.01859e+06,2.98408,8,2,False,
300,22.9192,1.95304e+07,2.75317,8,3,False,
303,578.53,773723,4.60183,13,3,False,
306,23.5064,1.90425e+07,4.86805,8,2,False,
309,61.4828,7.28044e+06,2.06566,9,2,False,
312,91.4982,4.89214e+06,3.98196,9,15,True,
313,73.5924,6.08245e+06,3.22681,9,8,True,
314,55.7613,8.02747e+06,2.82496,9,7,True,
315,541.46,826694,2.74944,10,2,False,
316,48.1906,9.28856e+06,4.16413,9,12,True,
318,106.774,4.19222e+06,3.78591,9,8,True,
320,113.758,3.93486e+06,4.51048,9,4,False,
