Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
1,65.9752,6.79712e+06,2.19463,0,2,False,
2,88.0969,5.09032e+06,3.06529,0,33,True,
3,72.6109,6.17595e+06,2.18511,0,7,True,
4,61.8887,7.24593e+06,2.94135,0,20,True,
6,133.091,3.36944e+06,1.90591,0,8,True,
7,70.072,6.39972e+06,2.97756,0,33,True,
8,641.396,699165,3.59968,32,2,False,
9,152.303,2.94439e+06,1.90894,0,3,False,
10,1069.52,419291,2.70437,0,3,False,
11,33.5413,1.33698e+07,1.54053,0,5,True,
13,50.9268,8.80561e+06,1.69768,0,3,False,
24,82.7676,5.41808e+06,3.02867,0,11,True,
25,114.262,3.92467e+06,3.42267,0,5,True,
26,66.4269,6.7509e+06,3.93881,0,7,True,
27,58.7777,7.62945e+06,3.28785,0,30,True,
28,1932.92,232002,3.32054,0,3,False,
29,92.1634,4.86572e+06,3.12851,0,21,True,
30,89.7001,4.99934e+06,4.09285,0,48,True,
32,75.4102,5.94669e+06,3.59376,0,12,True,
34,81.2018,5.52255e+06,3.78053,0,30,True,
35,77.6161,5.77769e+06,3.14213,0,5,True,
37,75.394,5.94797e+06,3.00279,0,23,True,
39,99.8577,4.49081e+06,3.20147,0,4,False,
40,74.0615,6.05499e+06,3.64286,0,13,True,
41,27.4878,1.63142e+07,2.9115,0,4,False,
42,47649.2,9411.3,3.33852,5,2,False,
43,65.7593,6.81943e+06,3.51912,0,46,True,
44,90.53,4.95351e+06,3.52235,0,31,True,
45,472.455,949172,2.78251,0,4,False,
46,15817,28351.8,3.03421,2,2,False,
47,65.6105,6.8349e+06,3.30666,0,9,True,
48,53.6378,8.36055e+06,2.72745,0,17,True,
50,46.1297,9.72131e+06,3.43336,0,22,True,
51,118.899,3.7716e+06,2.83038,0,13,True,
53,2280.36,196654,2.8187,8,2,False,
54,1382.37,324399,3.29012,1,2,False,
55,21.3332,2.10208e+07,3.17546,0,2,False,
56,39.163,1.14506e+07,3.01224,0,18,True,
57,75.7912,5.9168e+06,3.53323,0,44,True,
58,90.3606,4.9628e+06,3.34001,0,10,True,
60,60.1411,7.4565e+06,3.27212,0,3,False,
62,336.467,1.3328e+06,3.6803,0,3,False,
64,43.4806,1.03136e+07,3.78228,0,11,True,
65,47.1006,9.52093e+06,3.7136,0,2,False,
66,59.7803,7.5015e+06,4.4069,0,27,True,
67,48.1941,9.30491e+06,4.42962,0,6,True,
68,104.711,4.28265e+06,4.37957,0,23,True,
70,83.9925,5.33907e+06,3.39356,0,16,True,
71,120.245,3.72939e+06,3.65887,0,6,True,
72,60.1651,7.45352e+06,3.94883,0,6,True,
73,90.4573,4.9575e+06,3.59629,0,15,True,
76,85.5528,5.24169e+06,4.32218,0,100,True,
77,98.5921,4.54845e+06,3.79377,0,3,False,
78,35.2478,1.27225e+07,3.78452,0,2,False,
79,16087.2,27875.7,3.79482,0,2,False,
80,80.3579,5.58055e+06,3.70373,0,16,True,
82,2667.75,168097,3.89756,0,3,False,
83,77.9017,5.75651e+06,2.91937,0,17,True,
84,82.7042,5.42223e+06,3.86745,0,47,True,
85,102.576,4.3718e+06,3.1813,0,5,True,
86,48.5868,9.22971e+06,4.41682,0,16,True,
87,66.4224,6.75136e+06,3.85557,0,24,True,
89,101.348,4.42477e+06,4.57868,0,100,True,
90,183.339,2.44597e+06,4.4088,0,2,False,
91,96.9928,4.62345e+06,4.93035,0,56,True,
92,67.7888,6.61527e+06,3.65771,0,55,True,
