Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
0,219.656,2.04073e+06,1.11688,0,2,False,
1,87.459,5.12535e+06,2.66532,0,4,False,
3,86.8707,5.16006e+06,2.24784,0,2,False,
4,95.124,4.71235e+06,1.30454,0,5,True,
5,54.6248,8.20612e+06,2.61327,0,41,True,
6,415.507,1.07882e+06,1.88618,0,2,False,
7,42.3606,1.05819e+07,2.04018,0,6,True,
8,83.1506,5.39092e+06,2.39764,0,39,True,
10,24.7174,1.81353e+07,2.22916,0,3,False,
11,277.734,1.61398e+06,2.47526,0,4,False,
12,80.1641,5.59175e+06,1.36896,0,2,False,
14,88.3081,5.07607e+06,2.46459,0,15,True,
15,237.748,1.88543e+06,0.746347,0,2,False,
16,70.4322,6.36439e+06,2.36241,0,10,True,
17,40.7432,1.1002e+07,1.86741,0,8,True,
18,33.2756,1.34711e+07,2.19853,0,3,False,
19,63.8584,7.01956e+06,3.24518,0,12,True,
21,77.6469,5.77303e+06,4.05782,0,22,True,
22,98.4606,4.55266e+06,3.407,0,6,True,
23,2114.06,212037,3.52926,5,3,False,
24,58.3577,7.68121e+06,2.75019,0,3,False,
25,89.5098,5.00792e+06,3.03925,0,2,False,
27,255.836,1.75213e+06,3.68588,0,2,False,
28,90.0469,4.97805e+06,2.68919,0,11,True,
29,51.9473,8.62908e+06,2.66613,0,6,True,
30,57.9844,7.73067e+06,3.6227,0,44,True,
31,85.722,5.22921e+06,3.09354,0,23,True,
33,33.6212,1.33326e+07,3.57643,0,2,False,
34,200.124,2.2399e+06,3.53643,0,2,False,
35,107.663,4.16354e+06,4.05666,0,19,True,
36,41.179,1.08856e+07,2.53478,0,10,True,
37,94.8313,4.7269e+06,2.92004,0,3,False,
38,119.796,3.74186e+06,3.07624,0,15,True,
39,48.2316,9.29387e+06,3.09471,0,12,True,
42,40.9565,1.09447e+07,2.93505,0,3,False,
43,95.2141,4.70789e+06,3.42655,0,4,False,
45,298.38,1.5023e+06,3.83118,0,2,False,
46,74.088,6.05035e+06,4.09649,0,11,True,
47,70.3654,6.37043e+06,4.20625,0,6,True,
48,98.5829,4.54702e+06,4.22179,0,6,True,
49,244.663,1.83214e+06,4.35358,21,2,False,
50,52.3252,8.56676e+06,3.76781,0,11,True,
51,127.259,3.52241e+06,3.75462,0,2,False,
52,64.558,6.94349e+06,3.50142,0,11,True,
55,79.0262,5.67227e+06,3.78638,0,9,True,
56,64.5319,6.9463e+06,3.49901,0,2,False,
58,276.514,1.6211e+06,4.1471,17,2,False,
59,125.253,3.57883e+06,4.11901,0,33,True,
61,123.865,3.61892e+06,4.21279,0,14,True,
62,68.9856,6.49785e+06,4.03058,0,11,True,
63,92.274,4.8579e+06,3.95583,0,22,True,
64,293.206,1.52881e+06,3.53745,0,2,False,
65,1212.22,369784,4.10177,0,2,False,
67,85.2429,5.2586e+06,4.77719,0,73,True,
69,1209.83,370512,2.76501,18,2,False,
71,69.9119,6.41175e+06,3.53285,0,59,True,
72,36.2544,1.23642e+07,4.29417,0,2,False,
73,65.3844,6.85573e+06,3.567,0,7,True,
74,39.1626,1.14461e+07,4.44552,0,7,True,
75,127.532,3.51486e+06,4.63184,0,2,False,
76,155.495,2.88277e+06,4.68016,0,9,True,
77,77.3206,5.79739e+06,4.05595,0,11,True,
78,110.912,4.04156e+06,4.57458,0,7,True,
79,122.303,3.66514e+06,4.31374,0,3,False,
80,89.5687,5.00462e+06,4.56514,0,7,True,
82,101.87,4.40028e+06,4.8311,0,6,True,
83,101.589,4.41246e+06,4.52369,0,13,True,
84,108.765,4.12132e+06,4.26555,0,2,False,
85,107.279,4.17845e+06,4.4846,0,3,False,
86,69.5201,6.44789e+06,4.48735,0,17,True,
87,1634.63,274226,4.4867,0,2,False,
88,105.125,4.26406e+06,4.74915,0,34,True,
89,172.766,2.5946e+06,4.81347,0,10,True,
90,71.8898,6.23535e+06,4.48138,0,11,True,
91,69.4746,6.45211e+06,4.58369,0,21,True,
92,189.139,2.36999e+06,4.64872,0,19,True,
94,129.252,3.46808e+06,4.74219,0,52,True,
95,192.415,2.32965e+06,4.49691,0,2,False,
96,146.88,3.05186e+06,4.49285,0,11,True,
98,69.0079,6.49575e+06,4.43208,0,37,True,
99,37.366,1.19964e+07,4.16413,19,2,False,
101,203.317,2.20472e+06,3.32727,19,2,False,
102,336.876,1.33063e+06,4.93651,0,2,False,
103,61.6781,7.2677e+06,4.49064,0,5,True,
104,151.557,2.95769e+06,4.89175,0,2,False,
105,1175.43,381357,5.11441,14,2,False,
106,1229.18,364680,4.74494,0,2,False,
107,2569.71,174439,4.77486,2,3,False,
109,79.2517,5.65613e+06,4.52769,0,24,True,
110,101.745,4.40572e+06,5.38042,0,35,True,
111,1098.86,407929,4.66456,0,4,False,
112,84.0673,5.33213e+06,4.91771,8,3,False,
113,150.166,2.98508e+06,4.66638,0,2,False,
114,62.1447,7.21313e+06,3.82298,0,39,True,
115,95.2083,4.70818e+06,4.71217,0,12,True,
116,123.284,3.63596e+06,4.79747,3,2,False,
117,71.892,6.23516e+06,5.15869,0,21,True,
118,464.99,964017,4.90117,0,2,False,
119,85.3151,5.25415e+06,4.91302,0,71,True,
120,81.6529,5.4898e+06,4.72405,0,16,True,
121,115.669,3.87535e+06,4.65506,0,7,True,
