Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
0,68.8434,6.49617e+06,2.66128,0,52,True,
1,45.3586,9.85962e+06,1.40571,0,5,True,
2,112.785,3.96522e+06,2.1736,0,6,True,
3,670.171,667319,2.50813,18,3,False,
5,148.815,3.00519e+06,2.38104,0,4,False,
6,135.671,3.29634e+06,1.39534,0,2,False,
8,70.1005,6.37967e+06,3.1622,0,4,False,
9,86.7424,5.15571e+06,1.17263,0,4,False,
13,85.7697,5.21418e+06,3.62122,0,23,True,
14,134.874,3.31582e+06,3.37395,0,2,False,
15,63.4983,7.04299e+06,3.05753,0,6,True,
16,37.278,1.19968e+07,3.52372,0,13,True,
17,47519.3,9411.3,3.10733,3,2,False,
18,134.762,3.31857e+06,2.61237,0,13,True,
19,80.2158,5.57519e+06,3.88799,0,30,True,
20,83.8514,5.33346e+06,3.35347,0,61,True,
21,115.293,3.87896e+06,3.16782,0,10,True,
22,97.1219,4.60471e+06,3.14726,0,2,False,
23,82.494,5.42122e+06,3.71185,0,93,True,
24,72.0631,6.20592e+06,2.90337,0,8,True,
25,84.021,5.3227e+06,3.002,0,10,True,
26,199.521,2.24146e+06,2.75466,0,3,False,
27,25.2688,1.76984e+07,2.85968,1,2,False,
28,172.82,2.58777e+06,3.6277,0,3,False,
29,63.6515,7.02605e+06,1.71253,4,2,False,
30,82.7721,5.40301e+06,3.29921,0,4,False,
31,1377.41,324680,3.20004,0,2,False,
32,110.823,4.03543e+06,2.68941,0,4,False,
33,387.432,1.15432e+06,3.90276,0,3,False,
34,80.8489,5.53153e+06,4.18728,0,4,False,
36,66.074,6.76844e+06,4.45064,0,100,True,
37,73.7906,6.06064e+06,4.24796,0,42,True,
38,139.337,3.20962e+06,3.92468,0,9,True,
39,72.0013,6.21125e+06,3.8681,0,48,True,
40,205.137,2.1801e+06,4.36656,0,6,True,
41,191.51,2.33522e+06,3.92329,0,2,False,
42,1384.36,323051,3.78492,0,4,False,
43,53.9762,8.28547e+06,4.22672,0,5,True,
44,679.834,657834,3.89376,0,4,False,
45,64.6315,6.91951e+06,3.6775,0,4,False,
46,137.296,3.25734e+06,3.99094,41,2,False,
47,397.371,1.12544e+06,3.70588,2,2,False,
48,95.3937,4.68813e+06,3.28515,0,10,True,
49,88.157,5.07298e+06,4.74794,0,100,True,
50,50.6804,8.82429e+06,3.54228,0,8,True,
51,81.0255,5.51948e+06,4.13966,0,26,True,
52,67.0629,6.66864e+06,4.04221,0,82,True,
53,49.0201,9.12316e+06,3.81479,0,5,True,
54,62.5874,7.14549e+06,3.23604,0,9,True,
55,111.393,4.01478e+06,3.82756,0,16,True,
56,62.0173,7.21118e+06,4.60452,0,52,True,
58,95.9325,4.6618e+06,3.9475,0,44,True,
59,96.8389,4.61817e+06,4.4971,0,44,True,
60,64.45,6.939e+06,3.35216,0,47,True,
61,51.595,8.66786e+06,3.74763,0,4,False,
62,49.7495,8.98941e+06,3.55195,0,6,True,
63,82.4699,5.4228e+06,3.42198,10,2,False,
64,77.5451,5.7672e+06,3.23423,0,71,True,
65,56379.3,7932.31,3.54961,0,2,False,
66,128.955,3.46802e+06,3.98683,0,3,False,
67,47519.3,9411.3,3.92399,0,2,False,
68,70.6517,6.3299e+06,4.24722,0,40,True,
69,51.3364,8.71153e+06,4.15585,0,14,True,
71,63.9036,6.99832e+06,4.48749,0,3,False,
73,162.143,2.75817e+06,4.30305,0,3,False,
74,128.628,3.47685e+06,4.86164,0,43,True,
75,55.9966,7.98653e+06,4.26905,0,15,True,
76,58.6299,7.62782e+06,4.65016,0,10,True,
77,89.9548,4.97159e+06,4.48801,0,53,True,
78,65.1818,6.86109e+06,4.21429,0,22,True,
79,71.2165,6.2797e+06,4.58156,0,94,True,
80,936.58,477501,4.49182,0,2,False,
81,45.465,9.83654e+06,4.45911,0,2,False,
82,148.835,3.00478e+06,4.42151,0,9,True,
83,91.5729,4.88374e+06,4.79796,0,40,True,
84,64.1006,6.97682e+06,4.15949,0,28,True,
85,38.4061,1.16445e+07,4.27119,0,4,False,
86,88.6714,5.04354e+06,4.45878,0,10,True,
87,106.022,4.21817e+06,4.43382,0,31,True,
89,87.2858,5.12361e+06,4.25319,0,43,True,
90,74.6861,5.98797e+06,4.98809,0,66,True,
91,81.0426,5.51831e+06,4.2099,0,2,False,
92,88.5276,5.05174e+06,4.74905,0,31,True,
94,226.627,1.97337e+06,4.80553,0,5,False,
95,425.013,1.05225e+06,5.38479,65,4,False,
96,98.2042,4.55396e+06,4.93987,0,24,True,
97,66.2356,6.75193e+06,5.16022,0,51,True,
98,85.9718,5.20192e+06,5.42686,0,100,True,
99,1164.39,384078,6.03424,97,3,False,
100,68.5342,6.52548e+06,4.84065,0,38,True,
101,106.894,4.18376e+06,4.83036,0,18,True,
102,151.693,2.94817e+06,4.89778,0,2,False,
103,73.228,6.1072e+06,4.39903,0,37,True,
104,74.1384,6.03221e+06,4.73846,0,79,True,
105,499.032,896172,4.87155,0,2,False,
106,107.408,4.16375e+06,5.48004,0,27,True,
107,74.3538,6.01473e+06,4.82449,0,43,True,
108,96.8118,4.61946e+06,4.83925,0,31,True,
109,456.014,980711,4.81892,0,2,False,
110,114.854,3.89379e+06,5.51251,0,69,True,
111,1374.99,325252,4.58147,0,2,False,
113,64.019,6.98571e+06,4.70996,0,27,True,
115,73.519,6.08303e+06,5.16138,0,36,True,
116,135.104,3.31019e+06,5.0857,0,5,True,
117,70.4672,6.34647e+06,5.02796,0,40,True,
118,1188.41,376316,4.53696,76,3,False,
119,80.7727,5.53675e+06,4.67573,0,100,True,
120,137.002,3.26432e+06,5.27941,2,2,False,
121,113.579,3.9375e+06,5.58577,0,82,True,
122,63.4805,7.04497e+06,5.39876,0,3,False,
123,1044.12,428322,5.84949,0,2,False,
125,92.545,4.83244e+06,5.97753,0,67,True,
126,90.9401,4.91772e+06,5.71639,0,10,True,
127,76.5216,5.84434e+06,5.51247,0,100,True,
128,104.024,4.2992e+06,5.7518,0,72,True,
129,9290.22,48138.6,5.51189,97,3,False,
130,93.3433,4.79111e+06,5.886,0,25,True,
131,2166.6,206414,6.09907,38,3,False,
132,107.774,4.1496e+06,6.60366,0,100,True,
133,66.8125,6.69363e+06,6.46543,0,10,True,
134,124.761,3.5846e+06,6.67381,0,100,True,
135,121.473,3.68164e+06,6.75094,0,2,False,
136,258.33,1.73119e+06,6.12902,93,7,True,
137,113.858,3.92785e+06,7.01644,0,23,True,
140,47519.3,9411.3,2.06566,1,2,False,
141,103.864,4.3058e+06,2.657,1,5,True,
142,83.0818,5.38287e+06,4.6891,1,39,True,
143,223.246,2.00325e+06,2.98939,1,2,False,
144,550.365,812585,2.62045,2,2,False,
145,522.926,855224,3.02404,1,2,False,
146,162.186,2.75744e+06,3.73083,11,3,False,
147,332.797,1.34382e+06,3.51408,1,6,False,
148,200.129,2.23465e+06,2.77598,1,2,False,
149,286.329,1.5619e+06,4.0482,1,2,False,
150,338.656,1.32057e+06,4.36404,1,3,False,
151,61.7719,7.23983e+06,4.2059,1,3,False,
152,1.20262e+06,371.87,1.84274,2,2,False,
153,210.496,2.12459e+06,2.33768,2,5,False,
156,121.144,3.69163e+06,3.76312,2,10,True,
157,47519.3,9411.3,3.46124,2,2,False,
158,730.147,612505,4.06937,2,2,False,
159,61.3108,7.29428e+06,4.17064,5,2,False,
160,117.153,3.81739e+06,3.87909,2,5,True,
161,71.9706,6.2139e+06,4.32385,2,4,False,
162,61.9677,7.21696e+06,3.21228,2,16,True,
163,222.177,2.01289e+06,3.97198,2,2,False,
164,390.021,1.14665e+06,3.87866,2,2,False,
166,278.959,1.60317e+06,3.57506,2,5,False,
167,77.0886,5.80136e+06,4.76244,2,17,True,
168,67.8086,6.59531e+06,4.5067,2,5,True,
169,122.106,3.66253e+06,4.6677,100,2,False,
170,53.8702,8.30177e+06,4.53182,2,2,False,
174,116.872,3.82656e+06,4.69545,2,8,True,
175,4473.15,99978.4,5.47176,2,2,False,
176,63.1596,7.08077e+06,4.55321,2,6,True,
177,126.6,3.53252e+06,5.9553,2,100,True,
178,126.339,3.53982e+06,6.5551,2,100,True,
181,70.9646,6.30199e+06,2.84464,3,23,True,
184,17.1704,2.60458e+07,3.49795,12,2,False,
185,89.4427,5.00005e+06,4.25548,3,31,True,
186,306.387,1.45965e+06,4.17442,6,2,False,
187,618.839,722673,3.82661,3,2,False,
188,33.3722,1.34009e+07,3.72296,3,2,False,
189,71.2305,6.27847e+06,1.87011,4,4,False,
191,67.6387,6.61187e+06,2.15806,4,10,True,
192,29.1777,1.53274e+07,2.74044,4,2,False,
194,62.545,7.15034e+06,1.02065,4,4,False,
195,740.227,604164,3.40778,4,3,False,
196,123.404,3.624e+06,3.56559,4,2,False,
197,78.7631,5.67802e+06,3.27059,4,11,True,
199,31.8199,1.40547e+07,2.89839,4,3,False,
200,576.54,775693,3.935,4,2,False,
201,77.8721,5.74299e+06,3.86703,4,100,True,
203,98.8379,4.52476e+06,3.76968,4,4,False,
204,246.352,1.81536e+06,3.25829,4,2,False,
205,77.6436,5.75989e+06,3.98882,4,38,True,
206,82.3379,5.4315e+06,4.3236,4,17,True,
207,89.407,5.00205e+06,4.68488,4,6,True,
208,2738.88,163285,4.52121,4,2,False,
209,67.1634,6.65866e+06,4.21939,4,18,True,
210,152.301,2.93641e+06,4.97693,4,2,False,
211,105.55,4.23703e+06,4.87742,4,38,True,
212,253.241,1.76598e+06,4.27615,4,3,False,
213,88.5392,5.05108e+06,4.8622,4,9,True,
214,55.9725,7.98996e+06,5.06358,4,3,False,
215,684.177,653659,5.35823,4,3,False,
216,74.9267,5.96875e+06,4.63041,4,22,True,
217,70.1453,6.3756e+06,5.40586,4,6,True,
218,52.7132,8.48399e+06,5.27224,4,9,True,
219,244.262,1.8309e+06,5.41432,0,2,False,
220,137.863,3.24394e+06,4.0396,0,2,False,
223,31.1051,1.43776e+07,2.02719,5,4,False,
227,76.1108,5.87589e+06,3.81972,5,11,True,
228,78.268,5.71393e+06,4.32369,5,9,True,
229,147.454,3.03293e+06,4.04901,5,3,False,
230,115.893,3.85888e+06,4.27461,5,4,False,
233,49.169,9.09553e+06,3.70191,5,10,True,
234,1011.7,442044,4.5829,5,3,False,
236,415.263,1.07695e+06,5.88119,5,2,False,
237,205.649,2.17467e+06,3.13565,0,3,False,
238,41.6307,1.07425e+07,1.92781,6,2,False,
239,514.209,869721,0.900023,6,2,False,
241,29.062,1.53884e+07,1.59885,6,2,False,
242,34.5215,1.29548e+07,3.27679,6,7,True,
