Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
0,102.572,4.37808e+06,3.96868,0,2,False,
1,314.723,1.42686e+06,5.07283,0,14,True,
2,632.992,709434,3.9844,0,10,False,
3,6796.01,66077.9,3.61448,0,2,False,
6,131.411,3.41727e+06,4.56817,0,10,True,
7,1962.3,228847,4.53909,0,2,False,
8,81.8931,5.48356e+06,3.73247,0,7,True,
9,177.792,2.5258e+06,4.61271,7,2,False,
10,172.326,2.60591e+06,4.95018,0,2,False,
11,44.4488,1.0103e+07,4.26959,0,3,False,
13,100.727,4.45827e+06,4.82507,0,3,False,
14,392.611,1.14379e+06,4.9862,0,2,False,
15,82.3243,5.45484e+06,6.18002,0,10,True,
16,561.367,799951,4.65582,1,2,False,
17,71.0217,6.32294e+06,5.02236,0,7,True,
18,115.857,3.87605e+06,4.72737,0,33,True,
19,171.077,2.62493e+06,5.58405,0,3,False,
20,103.27,4.34845e+06,5.18503,0,14,True,
21,191.503,2.34496e+06,5.8881,0,13,True,
22,2333.43,192449,6.04229,0,2,False,
23,198.071,2.2672e+06,5.65262,0,54,True,
24,93.0713,4.82497e+06,6.19135,0,6,True,
25,212.362,2.11463e+06,6.54605,0,19,True,
26,1140.01,393913,5.07173,0,2,False,
27,47715.6,9411.3,6.19018,0,2,False,
28,81.0523,5.54045e+06,5.77903,0,2,False,
30,115.725,3.88044e+06,6.52989,0,82,True,
31,68.4472,6.56076e+06,6.24874,0,6,True,
32,121.188,3.70554e+06,5.86663,0,61,True,
33,93.5813,4.79867e+06,6.39653,0,15,True,
34,191.88,2.34035e+06,6.52423,0,11,True,
36,160.282,2.80173e+06,6.41134,0,8,True,
37,216.449,2.07469e+06,7.12536,0,100,True,
38,173.138,2.59369e+06,6.52117,0,49,True,
39,114.689,3.91552e+06,6.04164,0,20,True,
40,109.936,4.08481e+06,6.68478,0,6,True,
41,9271.61,48434.5,6.30421,2,2,False,
42,129.281,3.47358e+06,6.0419,0,3,False,
43,81.6022,5.50311e+06,6.6026,0,6,True,
44,249.17,1.80224e+06,6.92282,0,4,False,
45,1355.89,331196,8.16361,98,2,False,
46,1072.54,418694,7.15374,0,3,False,
47,211.919,2.11905e+06,7.17535,0,26,True,
48,204.145,2.19974e+06,7.59463,0,100,True,
49,99.1795,4.52781e+06,7.41867,0,16,True,
50,238.598,1.8821e+06,7.2641,0,10,True,
51,114.124,3.9349e+06,7.43832,0,8,True,
52,47715.6,9411.3,6.07854,32,2,False,
53,158.343,2.83603e+06,6.96613,0,100,True,
54,166.646,2.69474e+06,7.5891,0,100,True,
55,300.92,1.49231e+06,7.42092,0,73,True,
56,191.199,2.34869e+06,7.79702,0,100,True,
57,171.542,2.61783e+06,7.79576,0,54,True,
58,47715.6,9411.3,7.61383,4,2,False,
59,164.796,2.72499e+06,6.87818,0,39,True,
60,183.28,2.45016e+06,7.89404,0,100,True,
61,47715.6,9411.3,8.13526,22,2,False,
62,176.855,2.53917e+06,7.5062,0,100,True,
63,211.311,2.12514e+06,7.59953,0,100,True,
64,329.604,1.36244e+06,7.88267,0,60,True,
65,164.697,2.72662e+06,7.93445,0,35,True,
66,248.39,1.8079e+06,8.22077,0,45,True,
67,308.467,1.4558e+06,8.17474,0,100,True,
68,301.989,1.48703e+06,8.81221,0,100,True,
69,199.369,2.25243e+06,8.67673,0,94,True,
70,255.084,1.76047e+06,8.47049,0,100,True,
71,235.283,1.90862e+06,8.3647,0,100,True,
72,2489.52,180383,8.72794,0,2,False,
73,7689.98,58396.3,8.22167,98,2,False,
74,349.433,1.28513e+06,8.97637,0,100,True,
75,222.812,2.01545e+06,8.767,0,100,True,
76,356.914,1.25819e+06,8.6768,0,100,True,
77,259.096,1.7332e+06,8.74666,0,2,False,
78,203.311,2.20876e+06,8.84508,0,100,True,
79,312.077,1.43896e+06,8.85514,0,100,True,
80,9188,48875.3,8.46768,22,2,False,
81,251.005,1.78907e+06,8.89531,0,100,True,
82,2583.46,173824,9.00663,0,2,False,
83,303.601,1.47913e+06,8.9746,0,100,True,
86,123.43,3.63823e+06,3.81585,1,39,True,
87,135.932,3.30361e+06,4.02457,1,6,True,
88,164.877,2.72365e+06,2.82791,1,4,False,
91,254.557,1.76411e+06,5.04984,1,2,False,
94,308.598,1.45518e+06,5.86727,1,3,False,
97,250.423,1.79323e+06,3.36424,2,3,False,
98,47715.6,9411.3,3.75085,2,2,False,
102,52.5753,8.54139e+06,4.61515,2,2,False,
103,156.762,2.86463e+06,4.76666,2,18,True,
105,308.821,1.45413e+06,6.06488,2,2,False,
107,963.939,465866,6.50879,24,5,False,
108,229.821,1.95398e+06,5.82157,2,3,False,
109,312.349,1.43771e+06,8.83209,2,100,True,
110,364.467,1.23212e+06,8.88003,2,100,True,
111,11717.4,38324.8,8.97577,100,2,False,
112,62.8267,7.14769e+06,3.82168,3,3,False,
117,678.493,661858,4.83165,3,3,False,
118,283.898,1.58179e+06,4.75399,3,5,False,
120,498.519,900800,4.89882,3,3,False,
123,164.826,2.72449e+06,5.54468,3,2,False,
124,134.805,3.33124e+06,5.99222,3,3,False,
