Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
0,87.5406,5.1319e+06,4.52404,0,3,False,
2,135.458,3.31652e+06,3.80917,0,11,True,
3,89.4116,5.02451e+06,4.35675,0,60,True,
4,193.634,2.3201e+06,3.71946,0,3,False,
5,137.214,3.27408e+06,2.98918,18,3,False,
6,102.362,4.38882e+06,3.12419,0,17,True,
7,497.802,902466,3.46684,0,3,False,
8,47735.1,9411.3,2.97669,52,2,False,
9,379.43,1.18401e+06,3.74504,0,2,False,
10,215.121,2.08836e+06,5.37446,0,27,True,
12,47735.1,9411.3,4.74545,0,2,False,
14,77.824,5.77264e+06,5.138,0,20,True,
15,155.735,2.88471e+06,4.47602,0,30,True,
16,249.132,1.80326e+06,7.00431,0,25,True,
17,83.1981,5.39976e+06,4.31895,0,4,False,
18,166.759,2.694e+06,6.08846,0,43,True,
19,108.883,4.12599e+06,4.88057,0,12,True,
20,60.2199,7.46015e+06,5.32936,0,7,True,
21,75.2142,5.97294e+06,5.46086,0,14,True,
22,186.482,2.40908e+06,7.81021,0,100,True,
23,131.195,3.4243e+06,5.70146,0,9,True,
24,95.4317,4.70756e+06,5.73199,0,71,True,
25,171.767,2.61546e+06,7.17882,0,100,True,
26,144.01,3.11957e+06,6.15415,0,12,True,
27,162.952,2.75695e+06,6.34887,0,7,True,
28,113.688,3.95159e+06,6.0453,0,7,True,
29,211.427,2.12484e+06,6.00852,0,3,False,
30,397.245,1.13091e+06,6.94006,0,5,False,
32,144.772,3.10316e+06,6.89209,0,49,True,
33,187.505,2.39594e+06,6.99525,0,100,True,
34,35.1568,1.27785e+07,7.40955,98,2,False,
35,211.998,2.11913e+06,8.31363,0,100,True,
36,282.516,1.59017e+06,7.96384,0,2,False,
37,230.533,1.94874e+06,8.08442,0,100,True,
38,299.544,1.49978e+06,7.51267,0,14,True,
39,466.149,963748,7.45387,0,11,False,
40,175.15,2.56494e+06,8.30575,0,100,True,
41,8823.57,50914.7,8.68796,0,2,False,
42,214.064,2.09867e+06,8.06273,0,41,True,
43,212.064,2.11847e+06,8.54788,0,100,True,
44,158.529,2.83386e+06,8.2016,0,100,True,
45,8186.57,54876.4,8.55895,0,2,False,
46,371.892,1.20801e+06,8.81633,0,100,True,
49,225.377,1.99332e+06,3.90742,2,8,True,
51,2323.27,193369,5.98501,2,2,False,
52,47735.1,9411.3,7.65005,2,2,False,
53,228.328,1.96756e+06,4.50424,75,2,False,
54,486.737,922983,8.59022,34,4,False,
55,16876.1,26620.5,2.11369,3,2,False,
56,375.453,1.19655e+06,2.7678,3,2,False,
57,330.881,1.35774e+06,5.6704,3,2,False,
58,230.524,1.94882e+06,5.4444,3,2,False,
60,64.1979,6.99789e+06,4.1974,4,7,True,
61,271.265,1.65613e+06,3.50213,4,2,False,
62,595.525,754377,7.17051,4,2,False,
63,230.906,1.94559e+06,7.72229,4,39,True,
64,94.8514,4.73635e+06,3.91851,5,4,False,
65,257.259,1.74629e+06,2.7678,5,2,False,
67,188.137,2.38788e+06,5.91568,5,70,True,
69,208.921,2.15034e+06,4.97842,5,5,False,
70,1800.77,249477,5.75354,18,3,False,
72,96.8409,4.63905e+06,5.80216,5,33,True,
73,126.896,3.54029e+06,7.10693,5,58,True,
74,767.314,585484,2.75219,6,2,False,
75,404.914,1.1095e+06,3.71145,7,3,False,
76,128.797,3.48805e+06,6.81162,7,100,True,
77,99.6172,4.50976e+06,5.42721,18,2,False,
78,293.237,1.53204e+06,5.26391,7,4,False,
79,64.0144,7.01795e+06,2.82791,8,2,False,
80,1357.11,331033,4.10769,9,2,False,
81,722.494,621805,4.82573,8,4,False,
82,385.291,1.166e+06,3.55988,9,2,False,
83,489.906,917012,2.53325,10,4,False,
84,82.6714,5.43416e+06,3.63203,10,3,False,
85,155.045,2.89754e+06,4.58711,10,49,True,
87,1766.14,254368,3.88107,12,2,False,
88,156.384,2.87274e+06,6.72446,11,6,True,
89,134.958,3.32882e+06,7.34021,11,22,True,
90,91.7179,4.89817e+06,3.3057,12,3,False,
91,106.856,4.20426e+06,2.87352,12,5,True,
93,47735.1,9411.3,5.2728,12,2,False,
