Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
1,157.606,2.84782e+06,2.85666,0,8,True,
2,306.186,1.46589e+06,3.94986,6,2,False,
5,100.606,4.4613e+06,3.33247,0,8,True,
6,108.057,4.15367e+06,3.06827,0,19,True,
7,102.831,4.36477e+06,5.25364,0,6,True,
8,81.5447,5.50414e+06,4.75399,0,2,False,
9,1311.13,342324,5.35919,0,3,False,
10,152.863,2.93617e+06,6.22452,0,98,True,
11,68.64,6.53895e+06,4.78,0,5,True,
12,4355.72,103045,4.78124,20,2,False,
13,166.158,2.70125e+06,4.45417,0,20,True,
14,124.063,3.61779e+06,6.17091,0,25,True,
15,287.856,1.55923e+06,4.26715,0,64,True,
16,68.1727,6.58377e+06,4.28556,0,2,False,
17,263.195,1.70533e+06,5.30883,0,2,False,
18,274.224,1.63674e+06,5.39452,0,6,False,
19,102.871,4.36308e+06,5.82777,0,35,True,
20,299.835,1.49693e+06,6.0865,0,47,True,
21,105.201,4.26644e+06,6.10928,0,16,True,
22,147.27,3.04768e+06,6.168,0,23,True,
23,191.54,2.34329e+06,5.80833,20,2,False,
24,73.8647,6.07642e+06,5.35764,14,2,False,
25,44.8479,1.00079e+07,5.24241,0,6,True,
26,143.07,3.13715e+06,5.98003,0,2,False,
27,111.139,4.0385e+06,5.73247,0,84,True,
28,170.923,2.62593e+06,5.26603,0,12,True,
29,2292.29,195801,5.75432,2,2,False,
30,119.452,3.75743e+06,6.77049,0,28,True,
31,565.129,794214,6.30946,0,3,False,
32,256.645,1.74885e+06,6.63129,0,2,False,
33,790774,567.588,6.08586,27,2,False,
34,995.071,451056,6.22835,0,2,False,
35,99.4762,4.51197e+06,6.03268,0,13,True,
36,157.16,2.8559e+06,6.31542,0,14,True,
37,158.112,2.8387e+06,6.46064,0,8,True,
38,138.32,3.24489e+06,6.90975,0,100,True,
39,124.357,3.60923e+06,7.26088,0,100,True,
40,162.211,2.76698e+06,6.65069,0,73,True,
41,891.092,503689,7.19393,0,4,False,
42,330.824,1.35671e+06,7.31939,0,5,False,
43,438.408,1.02378e+06,7.29749,69,8,False,
44,914.719,490679,8.72486,97,3,False,
45,170.337,2.63498e+06,7.25962,0,100,True,
46,930.225,482500,5.95413,53,2,False,
47,286.072,1.56895e+06,7.43614,0,4,False,
48,1913.51,234560,7.70142,0,2,False,
49,138.363,3.24389e+06,7.55757,0,9,True,
50,238.556,1.88146e+06,6.36896,15,3,False,
51,3787.86,118493,7.96072,6,5,False,
52,47690.9,9411.3,7.94959,98,2,False,
53,149.259,3.00707e+06,8.19956,0,2,False,
54,158.728,2.82768e+06,7.8455,0,17,True,
55,619.086,724994,8.74163,0,2,False,
56,244.344,1.83689e+06,8.38417,0,5,False,
57,715.737,627092,8.60202,1,4,False,
58,245.772,1.82621e+06,7.43297,0,66,True,
59,204.285,2.1971e+06,8.67969,0,100,True,
60,1564.4,286904,7.36341,92,8,False,
61,237.971,1.88608e+06,8.31917,0,100,True,
62,200.044,2.24367e+06,8.52694,0,100,True,
63,222.745,2.01501e+06,8.8893,0,100,True,
64,187.995,2.38747e+06,8.29767,0,65,True,
65,5381.64,83400.9,8.89291,0,3,False,
66,381.563,1.1763e+06,8.9712,0,27,True,
67,58.0609,7.73039e+06,3.69116,1,2,False,
70,430.551,1.04246e+06,7.51286,2,2,False,
71,39.5555,1.13469e+07,2.78317,2,2,False,
72,109.515,4.09836e+06,4.87964,2,16,True,
73,3402.05,131930,5.49327,2,2,False,
74,147.306,3.04694e+06,6.14026,2,100,True,
75,122.265,3.67098e+06,6.08249,2,2,False,
76,1212.84,370067,7.90341,2,6,False,
77,133.243,3.36853e+06,8.23685,2,100,True,
78,241.845,1.85587e+06,8.61716,2,100,True,
79,99.5901,4.50681e+06,5.10817,13,2,False,
80,895.182,501388,6.16077,3,3,False,
81,2124.74,211242,7.06817,68,2,False,
83,364.237,1.23226e+06,9.0243,3,100,True,
86,95.1097,4.71911e+06,6.04258,4,4,False,
87,336.161,1.33517e+06,6.02843,4,100,True,
88,3574.63,125561,7.18556,4,2,False,
89,162.278,2.76584e+06,5.77903,0,2,False,
92,12058.8,37220.5,5.62875,5,2,False,
93,44.4836,1.00899e+07,6.06507,5,3,False,
94,296.785,1.51232e+06,8.91668,5,100,True,
97,504.937,888889,3.14939,6,2,False,
