NTA Experiment Summary File,
Created with NTA 3.3 Dev Build 3.3.301,
,
[Experiment Details],,
Software Version,NTA 3.3 Dev Build 3.3.301,
Experiment Name,1000x_L_4_1_real 2024-09-25 16-13-15.nano,
Operator Name,,
Time Captured,16:13:15  25/09/2024,
Sample Description,,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,,
Filename:,1000x_L_4_1_real 2024-09-25 16-13-30,1000x_L_4_1_real 2024-09-25 16-14-55,1000x_L_4_1_real 2024-09-25 16-16-18,1000x_L_4_1_real 2024-09-25 16-17-39,1000x_L_4_1_real 2024-09-25 16-18-59,
,,,,,,
[Conditions],,,,,,
Temperature/C,21.636,21.605,21.602,21.596,21.621,
Viscosity/cP,0.961240,0.961952,0.962021,0.962159,0.961584,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,10,10,10,10,10,
Slider Shutter,696,696,696,696,696,
Slider Gain,73,73,73,73,73,
Shutter/ms,17.400000,17.400000,17.400000,17.400000,17.400000,
Camera Histogram Upper Limit,16380,16380,16380,16380,16380,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,0,0,0,0,0,
,,,,,,
[Settings],,,,,,
Detection Threshold,3,3,3,3,3,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,8.3907,8.3175,8.2227,8.8566,8.3226,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),1.00e+03,1.00e+03,1.00e+03,1.00e+03,1.00e+03,,,
Concentration (Particles / ml),1.03e+12,1.39e+12,1.29e+12,1.41e+12,1.63e+12,1.35e+12,9.68e+10,
Particles per frame,52.4,70.6,65.7,71.4,82.7,68.6,4.9,
Centres per frame,53.4,72.3,67.1,73.3,86.9,70.6,5.4,
Completed tracks,4896,7320,6633,7023,8635,,,
X-Drift (pix/frame),0.1,0.1,0.1,0.1,0.1,,,
Y-Drift (pix/frame),-0.0,-0.0,-0.0,-0.0,-0.0,,,
,,,,,,,,
[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,No,No,No,No,No,
Vibration correction applied,No,No,No,No,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,1000x_L_4_1_real 2024-09-25 16-13-30,1000x_L_4_1_real 2024-09-25 16-14-55,1000x_L_4_1_real 2024-09-25 16-16-18,1000x_L_4_1_real 2024-09-25 16-17-39,1000x_L_4_1_real 2024-09-25 16-18-59,Average,Standard Error,
Mean,179.5,192.4,181.7,176.1,193.9,184.7,3.6,
Mode,111.5,120.2,125.8,143.0,182.4,136.6,12.6,
SD,62.4,78.9,71.8,63.3,67.8,68.8,3.0,
D10,109.7,114.3,119.2,109.1,117.0,113.9,2.0,
D50,166.0,170.2,155.4,153.6,179.9,165.0,4.9,
D90,271.1,293.4,275.3,258.5,304.8,280.6,8.2,
Valid Tracks,2033.0,2807.0,2568.0,2653.0,3119.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,0,
25.5,0,0,0,0,0,0,0,
26.5,0,0,0,0,0,0,0,
27.5,0,0,0,0,0,0,0,
28.5,0,0,0,0,0,0,0,
29.5,0,0,0,0,0,0,0,
30.5,0,0,0,0,0,0,0,
31.5,0,0,0,0,0,0,0,
32.5,0,0,0,0,0,0,0,
33.5,0,0,0,0,0,0,0,
34.5,0,0,0,0,0,0,0,
35.5,0,0,0,0,0,0,0,
36.5,0,0,0,0,0,0,0,
37.5,0,0,0,0,0,0,0,
38.5,0,0,0,0,0,0,0,
39.5,0,0,0,0,0,0,0,
40.5,0,0,0,0,0,0,0,
41.5,0,0,0,0,0,0,0,
42.5,0,0,0,0,0,0,0,
43.5,0,0,0,0,0,0,0,
44.5,0,0,0,0,0,0,0,
45.5,0,0,0,0,0,0,0,
46.5,0,0,0,0,0,0,0,
47.5,0,0,0,0,0,0,0,
48.5,0,0,0,0,0,0,0,
49.5,0,0,0,0,0,0,0,
50.5,0,1,0,0,0,0,0,
51.5,0,3,0,0,0,0,0,
52.5,0,10,0,0,0,2,2,
53.5,0,27,0,0,0,5,5,
54.5,0,73,0,0,0,15,15,
55.5,0,188,0,0,0,38,38,
56.5,0,467,0,0,0,93,93,
57.5,0,1115,0,0,0,223,223,
58.5,0,2556,0,0,0,511,511,
59.5,0,5621,0,0,1,1124,1124,
60.5,0,11858,0,0,2,2372,2371,
61.5,0,23999,0,0,5,4801,4800,
62.5,0,46624,0,1,10,9327,9324,
63.5,0,87011,0,13,21,17409,17401,
64.5,0,156171,0,93,43,31262,31227,
65.5,0,269984,0,591,89,54133,53963,
66.5,0,450373,3,3222,182,90756,89906,
67.5,0,726473,13,15090,371,148389,144550,
68.5,0,1135789,59,60958,752,239511,224377,
69.5,0,1725505,244,213374,1510,388127,336874,
70.5,0,2554172,931,651031,3016,641830,494364,
71.5,3,3694175,3275,1743566,5984,1089401,733247,
72.5,27,5235444,10606,4131150,11805,1877806,1158571,
73.5,208,7290940,31651,8734707,23158,3216133,1971508,
74.5,1382,10004500,87148,16633644,45188,5354372,3416367,
75.5,8005,13561646,221774,28808134,87702,8537452,5698435,
76.5,40154,18204039,522727,45836545,169251,12954543,8926305,
