Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
0,315.026,1.42452e+06,3.1989,0,5,False,
1,1419.47,316146,5.89549,35,2,False,
2,105.969,4.23483e+06,5.26276,0,100,True,
3,241.615,1.85733e+06,4.20174,0,57,True,
5,1470.31,305213,3.6011,5,2,False,
7,118.794,3.77764e+06,2.90506,0,4,False,
9,84.269,5.32533e+06,5.76034,0,58,True,
10,113.575,3.95121e+06,6.19694,0,56,True,
11,47683.1,9411.3,4.76526,15,3,False,
12,167.017,2.68691e+06,4.40569,0,5,True,
13,184.642,2.43044e+06,5.37046,0,29,True,
14,155.311,2.88943e+06,4.34487,0,2,False,
15,127.638,3.51588e+06,4.14571,0,9,True,
17,386.258,1.16181e+06,5.06396,0,2,False,
19,135.003,3.32406e+06,4.76876,0,2,False,
20,47683.1,9411.3,4.10769,29,2,False,
22,30.6746,1.46297e+07,5.0624,0,2,False,
24,550.098,815782,6.12275,0,2,False,
25,25.3726,1.76868e+07,5.97941,0,2,False,
26,122.309,3.66907e+06,6.55535,0,100,True,
27,161.874,2.77227e+06,6.59112,0,100,True,
28,2007.14,223582,6.64944,20,3,False,
29,109.673,4.0918e+06,6.22194,0,28,True,
30,202.798,2.21284e+06,6.89274,97,3,False,
31,280.563,1.59949e+06,6.24148,0,26,True,
32,123.836,3.62382e+06,6.984,0,20,True,
33,136.565,3.28606e+06,7.77086,0,63,True,
34,47683.1,9411.3,6.37346,92,2,False,
35,982.407,456796,6.90295,98,2,False,
36,158.797,2.82599e+06,7.98522,0,100,True,
37,47683.1,9411.3,7.4152,0,2,False,
38,164.03,2.73584e+06,6.81255,0,42,True,
39,115.16,3.89683e+06,7.19997,0,3,False,
40,143.9,3.11854e+06,7.13014,0,100,True,
41,120.091,3.73683e+06,6.41907,0,100,True,
42,78.9811,5.68186e+06,6.54948,0,10,True,
43,150.243,2.98688e+06,7.91033,0,100,True,
44,198.828,2.25703e+06,7.71168,0,100,True,
45,139.286,3.22185e+06,7.78016,0,100,True,
46,178.219,2.51802e+06,8.07137,0,100,True,
47,193.779,2.31584e+06,7.72967,0,100,True,
48,628.727,713760,6.27776,0,9,False,
49,296.081,1.51567e+06,8.22861,0,2,False,
50,131.62,3.40951e+06,7.89689,0,2,False,
51,1822.66,246211,8.18192,1,2,False,
52,63.1269,7.10886e+06,7.47023,98,2,False,
53,201.297,2.22934e+06,8.07843,0,100,True,
54,206.627,2.17183e+06,7.47657,0,100,True,
55,304.911,1.47177e+06,7.48324,0,69,True,
56,221.898,2.02237e+06,8.35152,0,4,False,
57,818.268,548427,8.64538,0,3,False,
59,292.872,1.53227e+06,8.95618,0,100,True,
60,278.637,1.61055e+06,8.73503,0,100,True,
61,204.59,2.19346e+06,8.49435,0,100,True,
62,4731.75,94840.1,7.97159,97,3,False,
63,2110.13,212669,9.10181,0,2,False,
64,335.32,1.3383e+06,9.11553,0,43,True,
65,1388,323315,8.95502,0,6,False,
66,633.747,708105,3.56919,1,3,False,
67,47683.1,9411.3,3.53142,5,2,False,
71,48.305,9.29013e+06,2.23509,2,3,False,
73,332.517,1.34958e+06,5.04746,2,4,False,
76,3603.84,124523,5.8061,33,2,False,
77,349.281,1.28481e+06,4.91824,2,2,False,
78,40.9009,1.09719e+07,5.47483,2,2,False,
79,159.467,2.81412e+06,5.8009,2,5,True,
80,180.866,2.48117e+06,6.60642,2,100,True,
83,920.557,487487,5.92337,2,3,False,
84,179.259,2.50341e+06,7.32314,2,100,True,
85,165.643,2.70919e+06,8.61118,2,100,True,
86,284.359,1.57814e+06,8.99648,2,100,True,
87,143.61,3.12486e+06,3.82885,3,11,True,
88,2466.53,181940,4.7771,3,2,False,
89,83.6788,5.36289e+06,4.65034,3,6,True,
90,78.4642,5.7193e+06,5.19498,3,42,True,
93,207.209,2.16574e+06,5.80733,3,34,True,
94,292.435,1.53456e+06,7.87227,3,100,True,
96,180.609,2.48471e+06,2.85666,4,2,False,
97,290.426,1.54518e+06,5.23148,4,11,True,
99,2820.57,159102,4.23687,4,2,False,
104,272.773,1.64518e+06,8.45914,102,2,False,
112,59.8633,7.49642e+06,3.29661,6,2,False,
115,200.874,2.23404e+06,4.76004,6,14,True,
117,882.57,508469,5.68642,6,2,False,
121,191.118,2.34808e+06,8.77297,6,3,False,
122,3275.56,137002,8.91685,6,2,False,
123,82.7396,5.42376e+06,4.08721,7,2,False,
125,4010.67,111891,5.27785,11,3,False,
126,482.545,929986,4.47938,7,2,False,
129,1516.51,295916,6.08922,8,2,False,
130,123.491,3.63396e+06,4.0629,0,5,True,
131,57.5575,7.79672e+06,3.02573,1,4,False,
133,157.162,2.85539e+06,2.85666,8,2,False,
134,87.1864,5.14713e+06,3.35854,8,2,False,
136,63.3841,7.08e+06,5.78677,8,5,True,
138,47683.1,9411.3,8.37715,13,2,False,
143,132.589,3.3846e+06,5.13321,9,6,True,
145,208.212,2.1553e+06,6.19018,9,2,False,
146,1122.57,399762,2.58104,10,2,False,
147,96.1617,4.66672e+06,3.63348,10,9,True,
148,162.053,2.76921e+06,4.16802,10,3,False,
151,132.5,3.38686e+06,4.53645,10,2,False,
154,47683.1,9411.3,8.77921,10,3,False,
157,5994.39,74863.3,4.46246,12,2,False,
158,1238.5,362342,3.87084,12,2,False,
159,1196.21,375152,5.77674,12,2,False,
163,223.763,2.00551e+06,3.04938,12,4,False,
164,113.136,3.96655e+06,4.18158,12,11,True,
165,102.004,4.39944e+06,4.26498,12,2,False,
166,63883.4,7024.67,4.67747,13,3,False,
168,138.223,3.24665e+06,5.02422,12,6,True,
172,646.702,693920,7.75683,12,2,False,
173,94.9543,4.72606e+06,3.50954,13,10,True,
175,110.159,4.07373e+06,3.79933,13,7,True,
179,247.705,1.81167e+06,2.50746,14,5,False,
182,289.614,1.54951e+06,4.89359,14,4,False,
183,178.541,2.51349e+06,7.80048,14,27,True,
184,228.21,1.96644e+06,8.82346,14,6,True,
185,1807.51,248275,5.1119,7,4,False,
187,160.668,2.79308e+06,4.37264,15,15,True,
189,1587.77,282635,5.1787,18,2,False,
193,177.636,2.52629e+06,6.2096,15,5,True,
194,289.622,1.54947e+06,8.54585,8,5,False,
196,103.86,4.32083e+06,4.65527,16,34,True,
197,302.842,1.48183e+06,3.74504,16,2,False,
198,415.885,1.07905e+06,3.93069,41,2,False,
200,329.409,1.36232e+06,8.5852,16,100,True,
201,42.9356,1.04519e+07,3.12801,21,2,False,
202,102.431,4.38111e+06,5.44878,17,17,True,
204,237.588,1.88882e+06,5.44174,17,4,False,
