NTA Experiment Summary File,
Created with NTA 3.3 Dev Build 3.3.301,
,
[Experiment Details],,
Software Version,NTA 3.3 Dev Build 3.3.301,
Experiment Name,1000x_L_7_2_real 2024-09-25 16-50-27.nano,
Operator Name,,
Time Captured,16:50:27  25/09/2024,
Sample Description,,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,,
Filename:,1000x_L_7_2_real 2024-09-25 16-50-35,1000x_L_7_2_real 2024-09-25 16-52-10,1000x_L_7_2_real 2024-09-25 16-53-51,1000x_L_7_2_real 2024-09-25 16-55-35,1000x_L_7_2_real 2024-09-25 16-57-17,
,,,,,,
[Conditions],,,,,,
Temperature/C,21.581,21.623,21.632,21.613,21.620,
Viscosity/cP,0.962504,0.961538,0.961332,0.961768,0.961607,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,12,11,11,11,11,
Slider Shutter,1200,890,890,890,890,
Slider Gain,146,146,146,146,146,
Shutter/ms,30.000000,22.250000,22.250000,22.250000,22.250000,
Camera Histogram Upper Limit,11529,16380,16380,16380,16380,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,0,0,0,0,0,
,,,,,,
[Settings],,,,,,
Detection Threshold,2,2,2,2,2,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,10.4643,10.3863,10.1920,10.5638,10.4327,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
216.5,25769972,463256128,187934611,1187547470,399107020,452723040,199418455,
217.5,21769955,411146421,147170930,1094239771,347070002,404279416,185981669,
218.5,18536985,364442629,115386366,1010347413,300593301,361861339,173625480,
219.5,15924326,322741078,90711965,935436883,259284322,324819715,162384626,
220.5,13812913,285642070,71618929,869003822,222749922,292565531,152270102,
221.5,12106811,252754059,56876040,810504772,190599968,264568330,143270793,
222.5,10729168,223697557,45504864,759383235,162450959,240353156,135357197,
223.5,9618720,198108614,36736615,715090154,137929550,219496731,128486096,
224.5,8726846,175641757,29972977,677099190,116675853,201623324,122605323,
225.5,8015127,155972310,24752008,644917375,98346382,186400640,117658128,
226.5,7453356,138798072,20719447,618091752,82616551,173535835,113586802,
227.5,7017932,123840354,17605178,596212625,69182656,162771749,110335432,
228.5,6690586,110844409,15204344,578913955,57763305,153883320,107851751,
229.5,6457369,99579334,13362474,565871351,48100278,146674161,106088117,
230.5,6307862,89837507,11963958,556797976,39958856,140973232,105001700,
231.5,6234565,81433668,10923266,551438576,33127641,136631543,104553977,
232.5,6232428,74203710,10178387,549561731,27417941,133518839,104709615,
233.5,6298494,68003290,9686049,550950359,22662791,131520196,105434821,
234.5,6431639,62706323,9418396,555390431,18715681,130532494,106695197,
235.5,6632383,58203429,9360876,562657895,15449082,130460733,108453174,
236.5,6902749,54400387,9511176,572503859,12752830,131214200,110665032,
237.5,7246188,51216640,9879147,584638240,10532457,132702534,113277588,
238.5,7667518,48583880,10487707,598712346,8707507,134831792,116224655,
239.5,8172910,46444731,11374825,614301215,7209902,137500717,119423412,
240.5,8769880,44751538,12596755,630886984,5982379,140597507,122770959,
241.5,9467304,43465264,14232782,647845112,4977045,143997501,126141407,
242.5,10275440,42554495,16391874,664435811,4154044,147562333,129383955,
243.5,11205952,41994534,19221698,679803525,3480368,151141216,132322560,
244.5,12271930,41766568,22920586,692987528,2928791,154575081,134757822,
245.5,13487905,41856888,27753083,702946585,2476942,157704281,136471791,
246.5,14869842,42256145,34069696,708599891,2106501,160380415,137236346,
247.5,16435114,42958596,42331271,708885091,1802507,162482516,136825797,
248.5,18202435,43961329,53138016,702831976,1552775,163937306,135034361,
249.5,20191754,45263419,67262304,689647619,1347400,164742499,131699639,
250.5,22424087,46864993,85682999,668805553,1178348,164991196,126734472,
251.5,24921271,48766171,109616841,640128647,1039112,164894408,120172791,
252.5,27705632,50965847,140539450,603853406,924428,164797752,112241871,
253.5,30799538,53460313,180184700,560663188,830049,165187558,103484877,
254.5,34224814,56241709,230507198,511679976,752552,166681250,94966258,
255.5,38002007,59296314,293589164,458409022,689189,169997139,88543484,
256.5,42149465,62602742,371471945,402637445,637761,175899872,86919670,
257.5,46682222,66130096,465895876,346295686,596518,185120080,92786105,
258.5,51610662,69836214,577942767,291297929,564086,198250332,107214139,
259.5,56938972,73666150,707594989,239382454,539400,215624393,129266058,
260.5,62663370,77551088,853253892,191974020,521660,237192806,157088388,
261.5,68770154,81407895,1011294858,150087094,510291,262414058,188718650,
262.5,75233612,85139559,1175768685,114281697,504921,290185695,222189414,
263.5,82013873,88636703,1338376824,84674264,505362,318841405,255412024,
264.5,89054818,91780360,1488837145,60996475,511599,346236080,286121841,
265.5,96282215,94446070,1615706230,42687692,523792,369929200,311952031,
266.5,103602255,96509278,1707632606,29002857,542275,387457854,330626685,
267.5,110900748,97851828,1754897008,19118090,567573,396667049,340233710,
268.5,118043208,98369198,1750981350,12219951,600416,396042825,339517782,
269.5,124876115,97977961,1693838008,7570100,641773,384980791,328122507,
270.5,131229598,96622832,1586541583,4543152,692879,363926009,306714998,
271.5,136921726,94282563,1437111766,2640480,755292,334342365,276948591,
272.5,141764512,90974012,1257480303,1485783,830939,298507110,241257185,
273.5,145571613,86753768,1061786862,809247,922195,259168737,202517652,
274.5,148167497,81716957,864360224,426575,1031965,219140643,163651765,
275.5,149397679,75993105,677814431,217603,1163787,180917321,127254281,
276.5,149139410,69739296,511639453,107419,1321953,146389506,95324022,
277.5,147311986,63131128,371512760,51318,1511653,116703769,69141714,
278.5,143885747,56352300,259357876,23728,1739138,92271758,49283789,
279.5,138888737,49583777,173996370,10621,2011915,72898284,35676756,
280.5,132410108,42993566,112133107,4603,2338956,57976068,27526411,
281.5,124599504,36728016,69399510,1932,2730945,46691982,23234702,
282.5,115662038,30905371,41240227,786,3200537,38201792,20912872,
283.5,105848873,25611985,23527592,310,3762636,31750279,19218821,
284.5,95443949,20901302,12885788,118,4434693,26733170,17548234,
285.5,84747851,16795381,6775503,44,5236994,22711154,15745847,
286.5,74060224,13288490,3420763,16,6192935,19392486,13840542,
287.5,63662377,10352148,1658602,6,7329269,16600480,11913552,
288.5,53801723,7940923,772535,2,8676283,14238293,10049660,
289.5,44679517,5998325,345781,0,10267893,12258303,8326039,
290.5,36442944,4462278,148789,0,12141611,10639125,6817207,
291.5,29182063,3269758,61580,0,14338350,9370350,5607401,
292.5,22931515,2360408,24527,0,16902023,8443695,4799089,
293.5,17676364,1679059,9407,0,19878898,7848746,4485698,
294.5,13360998,1177233,3477,0,23316676,7571677,4673960,
295.5,9899804,813768,1239,0,27263253,7595613,5260640,
296.5,7188300,554777,426,0,31765166,7901734,6118898,
297.5,5113551,373137,142,0,36865708,8470508,7164568,
298.5,3562998,247693,45,0,42602753,9282698,8357358,
299.5,2431198,162343,14,0,49006326,10319976,9682581,
300.5,1624306,105103,4,0,56096012,11565085,11137001,
301.5,1062441,67246,1,0,63878303,13001598,12720776,
302.5,680291,42540,0,0,72344028,14613372,14433243,
303.5,426399,26621,0,0,81466019,16383808,16270754,
304.5,261617,16489,0,0,91197186,18295058,18225600,
305.5,157129,10115,0,0,101469180,20327285,20285496,
306.5,92388,6148,0,0,112191811,22458070,22433442,
307.5,53186,3705,0,0,123253347,24662048,24647827,
308.5,29982,2216,0,0,134521811,26910802,26902753,
309.5,16553,1315,0,0,145847303,29173034,29168567,
310.5,8953,776,0,0,157065342,31415014,31412582,
311.5,4745,455,0,0,168001136,33601267,33599967,
312.5,2465,265,0,0,178474622,35695470,35694788,
313.5,1255,154,0,0,188306063,37661495,37661142,
314.5,627,89,0,0,197321936,39464530,39464351,
315.5,307,51,0,0,205360809,41072234,41072144,
316.5,148,30,0,0,212278904,42455816,42455772,
317.5,70,17,0,0,217955043,43591026,43591004,
318.5,33,10,0,0,222294714,44458951,44458941,
319.5,15,6,0,0,225233058,45046616,45046611,
320.5,7,3,0,0,226736614,45347325,45347322,
321.5,3,2,0,0,226803787,45360758,45360757,
322.5,1,1,0,0,225464022,45092805,45092804,
323.5,0,0,0,0,222775802,44555161,44555160,
324.5,0,0,0,0,218823609,43764722,43764722,
325.5,0,0,0,0,213714065,42742813,42742813,
326.5,0,0,0,0,207571479,41514296,41514296,
327.5,0,0,0,0,200533069,40106614,40106614,
328.5,0,0,0,0,192744102,38548820,38548820,
329.5,0,0,0,0,184353172,36870634,36870634,
