NTA Experiment Summary File,
Created with NTA 3.3 Dev Build 3.3.301,
,
[Experiment Details],,
Software Version,NTA 3.3 Dev Build 3.3.301,
Experiment Name,1000x_L_7_2_real 2024-09-25 16-50-27.nano,
Operator Name,,
Time Captured,16:50:27  25/09/2024,
Sample Description,,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,,
Filename:,1000x_L_7_2_real 2024-09-25 16-50-35,1000x_L_7_2_real 2024-09-25 16-52-10,1000x_L_7_2_real 2024-09-25 16-53-51,1000x_L_7_2_real 2024-09-25 16-55-35,1000x_L_7_2_real 2024-09-25 16-57-17,
,,,,,,
[Conditions],,,,,,
Temperature/C,21.581,21.623,21.632,21.613,21.620,
Viscosity/cP,0.962504,0.961538,0.961332,0.961768,0.961607,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,12,11,11,11,11,
Slider Shutter,1200,890,890,890,890,
Slider Gain,146,146,146,146,146,
Shutter/ms,30.000000,22.250000,22.250000,22.250000,22.250000,
Camera Histogram Upper Limit,11529,16380,16380,16380,16380,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,0,0,0,0,0,
,,,,,,
[Settings],,,,,,
Detection Threshold,2,2,2,2,2,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,10.4643,10.3863,10.1920,10.5638,10.4327,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),1.00e+03,1.00e+03,1.00e+03,1.00e+03,1.00e+03,,,
Concentration (Particles / ml),2.34e+12,2.82e+12,3.27e+12,4.32e+12,4.52e+12,3.45e+12,4.22e+11,
Particles per frame,118.7,143.3,166.1,219.2,229.4,175.3,21.4,
Centres per frame,115.7,142.2,162.0,205.1,213.7,167.7,18.6,
Completed tracks,16330,21824,25146,33707,35600,,,
X-Drift (pix/frame),0.2,0.1,0.1,0.2,0.1,,,
Y-Drift (pix/frame),-0.0,0.0,0.0,0.0,0.0,,,
,,,,,,,,
[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,No,No,No,No,No,
Vibration correction applied,No,No,No,No,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,1000x_L_7_2_real 2024-09-25 16-50-35,1000x_L_7_2_real 2024-09-25 16-52-10,1000x_L_7_2_real 2024-09-25 16-53-51,1000x_L_7_2_real 2024-09-25 16-55-35,1000x_L_7_2_real 2024-09-25 16-57-17,Average,Standard Error,
Mean,102.5,114.4,115.8,111.7,112.2,111.3,2.3,
Mode,83.6,89.4,86.6,92.7,106.0,91.7,3.9,
SD,27.3,32.2,33.7,30.3,30.6,30.8,1.1,
D10,74.3,80.6,80.9,78.8,78.6,78.6,1.2,
D50,94.0,106.5,107.1,105.1,107.1,104.0,2.5,
D90,140.2,164.6,157.2,150.2,155.7,153.6,4.0,
Valid Tracks,6068.0,7655.0,8878.0,11662.0,12218.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,0,
23.5,0,0,0,0,1,0,0,
24.5,0,0,0,0,13,3,3,
25.5,0,0,0,0,110,22,22,
26.5,0,0,0,0,710,142,142,
27.5,0,0,0,0,3598,720,720,
28.5,0,0,0,0,14632,2926,2926,
29.5,0,0,0,0,48760,9752,9752,
30.5,0,0,0,0,136077,27215,27215,
31.5,0,0,0,0,325053,65011,65011,
32.5,0,0,0,0,679024,135805,135805,
33.5,0,0,0,0,1266371,253274,253274,
34.5,0,2,0,0,2150289,430058,430058,
35.5,0,8,0,0,3385432,677088,677086,
36.5,0,36,0,1,5024944,1004996,1004987,
37.5,0,139,0,5,7136395,1427308,1427272,
38.5,3,496,0,21,9822902,1964684,1964554,
39.5,12,1619,0,75,13247013,2649744,2649317,
40.5,50,4886,0,255,17657760,3532590,3531292,
41.5,189,13753,0,814,23423886,4687728,4684040,
42.5,653,36381,0,2450,31077704,6223438,6213570,
43.5,2099,91132,0,7004,41374582,8294964,8269922,
44.5,6371,217756,0,19078,55372882,11123217,11062491,
45.5,18541,499755,0,49655,74538355,15021261,14879562,
46.5,52374,1108493,3,123816,100875203,20431978,20111843,
47.5,144894,2388545,19,296426,137082851,27982547,27278570,
48.5,394381,5018109,121,682731,186732795,38565628,37052936,
49.5,1055951,10296874,720,1515589,254454072,53464641,50281196,
50.5,2768644,20627532,3887,3248485,346110162,74551742,67987553,
51.5,7052565,40239864,19005,6734071,468946497,104598400,91356725,
52.5,17281444,76109659,83920,13522376,631688421,147737164,121690818,
53.5,40316976,138800194,333615,26340225,844575715,210073345,160349456,
54.5,88730023,242631909,1191457,49830707,1119331007,300343020,208698351,
55.5,182945256,404385410,3819569,91640796,1469071970,430372600,268093149,
56.5,352002376,640057461,10999816,163931123,1908185663,615035288,339882637,
57.5,631635040,960246126,28527481,285320482,2452181972,871582220,425333730,
58.5,1059566221,1366079778,66904763,483139709,3117528784,1218643851,525370170,
59.5,1669759431,1848085837,142709148,795633519,3921445757,1675526738,640222773,
60.5,2488322041,2389203310,278806380,1273426868,4881602779,2262272276,769417132,
61.5,3532827977,2970885652,502910467,1979244528,6015643391,3000302403,912585771,
62.5,4814702960,3579615388,844807758,2984709828,7340443548,3912855896,1071146792,
63.5,6342654339,4211308259,1333327672,4363286641,8871031457,5024321674,1250131433,
64.5,8124919657,4872602438,1994288639,6179261494,10619140155,6358042477,1458760616,
65.5,10169071195,5579592384,2850082792,8474066329,12591440734,7932850687,1708338548,
66.5,12479378035,6355266631,3920711619,11252827989,14787602091,9759157273,2007359331,
67.5,15052661494,7226738443,5225469014,14475077129,17198425357,11835674287,2355967492,
68.5,17874008598,8222813018,6784319282,18053313095,19804381446,14147767088,2742816944,
69.5,20913696401,9371958195,8618234977,21861311715,22574908355,16668021929,3145782365,
70.5,24126323425,10700510632,10748112928,25751172930,25468776067,19358979196,3535770251,
71.5,27452536095,12230926152,13192207597,29575288043,28435692800,22177330137,3881932905,
72.5,30823023662,13979972445,15962261149,33207888195,31419123988,25078453888,4156760408,
73.5,34163847565,15956878043,19058700533,36561230926,34360067525,28020144918,4340044609,
74.5,37401877440,18161544295,22465459895,39593478992,37201333282,30964738781,4421235989,
75.5,40469220680,20582980547,26145187795,42307938978,39891765648,33879418730,4400155425,
76.5,43305984007,23198141874,30035781513,44745487339,42389855217,36735049990,4286310663,
77.5,45861296487,25971347460,34049280100,46973082506,44666305758,39504262462,4097184805,
78.5,48093031503,28854447755,38074046677,49071205955,46705319227,42159610223,3855893488,
79.5,49966938943,31787891220,41980798520,51122281808,48504581148,44672498328,3588690676,
80.5,51455898038,34702806467,45632387244,53201105413,50074119033,47013263239,3323021196,
81.5,52539780669,37524146262,48896386533,55367463597,51434332000,49152421812,3086992103,
82.5,53206079787,40174823553,51658723528,57660645121,52613538493,51062762096,2910611227,
83.5,53451120970,42580609493,53836068376,60095433373,53645369697,52721720382,2827018731,
84.5,53281429403,44675384228,55384709000,62659352475,54566270687,54113429159,2868997551,
85.5,52714726495,46406177817,56304260088,65311266733,55413284562,55229943139,3057826071,
86.5,51780093477,47737363561,56635640474,67981766128,56222208305,56071414389,3391676627,
87.5,50517034230,48653410440,56453973484,70575968080,57026137036,56645304654,3844938855,
88.5,48973432495,49159776614,55858042969,72979311932,57854362500,56964985302,4377563075,
89.5,47202651172,49281803762,54958403363,75066555250,58731562688,57048195247,4945269599,
90.5,45260195657,49061789717,53866131230,76713530926,59677209759,56915771458,5506426261,
91.5,43200421543,48554696661,52683655881,77810439419,60705128379,56590868377,6026390969,
92.5,41073711458,47823127655,51498366491,78274778061,61823151770,56098627087,6480533284,
93.5,38924409677,46932241868,50379007374,78061717650,63032844131,55466044140,6856202734,
94.5,36789635087,45945185962,49374400132,77170002493,64329282262,54721701187,7153361756,
95.5,34698938249,44919436833,48513819666,75642263381,65700913436,53895074313,7383527881,
96.5,32674656191,43904236067,47808363483,73559775899,67129528162,53015311960,7566876473,
97.5,30732759608,42939101855,47252810772,71032822132,68590402859,52109579445,7727745278,
98.5,28883976443,42053264796,46827685353,68188587565,70052676034,51201238038,7889297501,
99.5,27134999781,41265802768,46501446981,65158756541,71480019846,50308205183,8068576423,
100.5,25489631575,40586240924,46232892377,62068670388,72831655209,49441818095,8273293085,
101.5,23949763816,40015418659,45973922954,59029259065,74063732361,48606419371,8501165702,
102.5,22516146525,39546485293,45672818443,56132195704,75131061470,47799741487,8741656190,
103.5,21188932105,39165951665,45278048000,53448068312,75989133031,47014026623,8979128836,
104.5,19968015798,38854781424,44742475677,51026936688,76596321382,46237706194,9196255137,
105.5,18853211409,38589544564,44027619009,48900467701,76916124012,45457393339,9376834738,
106.5,17844310751,38343672041,43107457877,47084869200,76919262146,44659914403,9507700986,
107.5,16941075554,38088843321,41971227039,45583992810,76585460798,43834119904,9579735886,
108.5,16143204001,37796511440,40624701146,44392172889,75904742703,42972266436,9588175585,
109.5,15450302889,37439528802,39089696662,43496559282,74878109872,42070839501,9532415452,
110.5,14861883351,36993790891,37401824209,42878856725,73517544347,41130779905,9415500514,
111.5,14377385267,36439775543,35606845100,42516495598,71845327942,40157165890,9243450520,
112.5,13996224660,35763833186,33756227594,42383331209,69892749120,39158473154,9024527731,
113.5,13717850390,34959086777,31902598040,42450010283,67698323582,38145573814,8768509879,
114.5,13541791398,34025831316,30095723483,42684162139,65305695614,37130640790,8485985602,
115.5,13467673353,32971378116,28379478915,43050573449,62761405130,36126101793,8187656925,
116.5,13495183083,31809357944,26790008507,43511491920,60112700202,35143748331,7883626056,
117.5,13623960366,30558566166,25355055300,44027175854,57405549965,34194061530,7582668568,
118.5,13853399156,29241488147,24094258639,44556763492,54682974071,33285776701,7291545686,
119.5,14182344679,27882674268,23020125220,45059480177,51983759410,32425676751,7014463709,
120.5,14608679592,26507136744,22139362595,45496137632,49341589626,31618581238,6752817200,
121.5,15128802673,25138917412,21454301744,45830816740,46784573536,30867482421,6505327168,
122.5,15737018040,23799934117,20964200750,46032573983,44335128424,30173771063,6268602288,
123.5,16424872048,22509163440,20666292280,46076983126,42010154954,29537493170,6038039735,
124.5,17180497738,21282169006,20556498787,45947325606,39821431592,28957584546,5808891862,
125.5,17988050526,20130945033,20629785609,45635277334,37776156468,28432042994,5577293944,
126.5,18827339019,19064018212,20880154121,45141001143,35877571208,27958016741,5341080980,
127.5,19673765221,18086738134,21300299619,44472631367,34125611823,27531809233,5100292261,
128.5,20498681937,17201685441,21880977673,43645215194,32517544244,27148820898,4857335892,
129.5,21270246220,16409134483,22610143714,42679239754,31048554559,26803463746,4616836416,
130.5,21954794056,15707519750,23471956841,41598913718,29712275323,26489091938,4385207439,
131.5,22518686809,15093869659,24445770346,40430382951,28501238814,26197989716,4169982005,
132.5,22930494926,14564184947,25505264365,39200043581,27407255386,25921448641,3978914157,
133.5,23163305433,14113750619,26617902421,37933079611,26421720309,25649951679,3818868495,
134.5,23196885955,13737379430,27744902561,36652305826,25535855863,25373465927,3694579279,
135.5,23019425816,13429591316,28841893520,35377349494,24740897237,25081831477,3607493672,
136.5,22628612597,13184737252,29860368119,34124164038,24028231476,24765222696,3555040027,
137.5,22031887088,12997078243,30749948261,32904838560,23389498491,24414650129,3530642614,
138.5,21245835657,12860831021,31461347394,31727650343,22816662416,24022465366,3524574839,
139.5,20294803108,12770191862,31949777826,30597301917,22302060503,23582827043,3525430946,
140.5,19208915628,12719349138,32178431208,29515287307,21838435541,23092083764,3521814205,
141.5,18021772000,12702493855,32121592112,28480340512,21418956522,22549031000,3503867826,
142.5,16768081496,12713835753,31766950946,27488929921,21037231117,21955005847,3464421320,
143.5,15481500345,12747630470,31116771392,26535772879,20687312472,21313797512,3399667007,
144.5,14192856907,12798221043,30187726660,25614353246,20363701959,20631371963,3309368476,
145.5,12928875642,12860094605,29009416903,24717430569,20061348812,19915433306,3196645108,
146.5,11711429291,12927952764,27621775447,23837532267,19775647054,19174867365,3067396993,
147.5,10557281082,12996791988,26071723221,22967420308,19502429789,18419129278,2929446058,
148.5,9478232368,13061988551,24409510527,22100521959,19237960735,17657642828,2791478916,
149.5,8481567643,13119381452,22685183552,21231311447,18978922821,16899273383,2661894109,
150.5,7570685738,13165346324,20945539808,20355626933,18722403731,16151920507,2547690456,
151.5,6745817555,13196853775,19231816586,19470906222,18465878386,15422254505,2453578579,
152.5,6004750793,13211506753,17578219681,18576326001,18207188527,14715598351,2381513988,
153.5,5343505195,13207553347,16011274187,17672833582,17944519746,14035937211,2330778657,
154.5,4756923726,13183873590,14549884118,16763067000,17676376444,13386024975,2298568579,
155.5,4239163516,13139941090,13205931798,15851168155,17401555376,12767551987,2280865368,
156.5,3784084106,13075762426,11985229935,14942503251,17119118469,12181339638,2273301958,
157.5,3385539776,12991798884,10888651258,14043313540,16828365675,11627533827,2271808487,
158.5,3037587967,12888876246,9913291628,13160325909,16528808575,11105778065,2272967017,
159.5,2734628090,12768088803,9053561980,12300355922,16220145388,10615356037,2274117634,
160.5,2471485081,12630703646,8302143836,11469935145,15902237927,10155301127,2273305784,
161.5,2243450968,12478070648,7650776959,10674990032,15575090903,9724475902,2269156433,
162.5,2046295809,12311542566,7090873459,9920592288,15238833824,9321627589,2260734354,
163.5,1876257351,12132408513,6613969821,9210791576,14893705583,8945426569,2247422298,
164.5,1730016693,11941842769,6212038073,8548532312,14540041650,8594494299,2228828594,
165.5,1604665464,11740869755,5877681171,7935648175,14178263689,8267425651,2204723889,
166.5,1497668484,11530344934,5604237588,7372921930,13808871256,7962808839,2175001429,
167.5,1406824649,11310950556,5385817486,6860194502,13432435202,7679244479,2139654099,
168.5,1330227808,11083204541,5217289167,6396506060,13049592293,7415363974,2098762369,
169.5,1266228697,10847480311,5094230375,5980252711,12661040607,7169846540,2052489001,
170.5,1213398438,10604035132,5012855203,5609344684,12267535207,6941433733,2001078092,
171.5,1170493766,10353044375,4969924033,5281355003,11869883691,6728940173,1944857303,
172.5,1136423924,10094639080,4962641271,4993651003,11468941239,6531259303,1884242937,
173.5,1110219016,9828944320,4988543710,4743504144,11065604891,6347363216,1819747857,
174.5,1090999620,9556115995,5045381075,4528176244,10660806857,6176295958,1751992115,
175.5,1077947513,9276373983,5130989740,4344982257,10255506802,6017160059,1681715724,
176.5,1070277545,8990029868,5243160676,4191331121,9850683106,5869096463,1609792109,
177.5,1067210911,8697507900,5379503329,4064747071,9447323228,5731258488,1537239482,
178.5,1067950448,8399358250,5537308397,3962874226,9046413378,5602780940,1465225534,
179.5,1071658925,8096262155,5713414170,3883467434,8648927763,5482746089,1395058468,
180.5,1077441730,7789029009,5904083204,3824372333,8255817714,5370148798,1328154949,
181.5,1084335712,7478585959,6104898331,3783497535,7868001052,5263863718,1265974002,
182.5,1091306212,7165960967,6310689099,3758781784,7486352016,5162618016,1209907556,
183.5,1097254302,6852260661,6515501348,3748158947,7111692086,5064973469,1161126169,
184.5,1101035984,6538644520,6712623151,3749523790,6744781986,4969321886,1120394453,
185.5,1101494350,6226297069,6894679475,3760701557,6386315086,4873897507,1087892046,
186.5,1097504524,5916399742,7053804997,3779424519,6036912390,4776809234,1063092085,
187.5,1088029602,5610103960,7181899434,3803318589,5697119188,4676094155,1044745686,
188.5,1072183934,5308506758,7270962331,3829902992,5367403406,4569791884,1030992302,
189.5,1049298256,5012629984,7313495030,3856605443,5048155608,4456036864,1019574756,
190.5,1018979707,4723403801,7302947219,3880794552,4739690540,4333163164,1008107607,
191.5,981159025,4441654852,7234175491,3899829970,4442250057,4199813879,994342551,
192.5,936117684,4168099133,7103873250,3911129292,4156007222,4055045316,976389974,
193.5,884489298,3903339340,6910926954,3912248988,3881071348,3898415186,952877034,
194.5,827232492,3647866226,6656654584,3900974794,3617493724,3730044364,923038522,
195.5,765576004,3402063315,6344889278,3875415367,3365273770,3550643547,886744755,
196.5,700940584,3166214251,5981884325,3834091756,3124365358,3361499255,844473290,
197.5,634845549,2940511987,5576033940,3776014706,2894683068,3164417850,797231760,
198.5,568809948,2725069058,5137425136,3700742112,2676108165,2961630884,746439642,
199.5,504258858,2519928211,4677256606,3608410206,2468494096,2755669595,693777964,
200.5,442444214,2325072795,4207177276,3499734114,2271671377,2549219955,641017895,
201.5,384387056,2140436385,3738607365,3375976231,2085451753,2344971758,589841850,
202.5,330844763,1965911292,3282106356,3238883856,1909631558,2145475565,541674345,
203.5,282303305,1801355690,2846845069,3090600505,1743994251,1953019764,497544006,
204.5,238991513,1646599275,2440224152,2933557803,1588312153,1769536979,458000617,
205.5,200912225,1501447445,2067661628,2770356433,1442347422,1596545031,423107282,
206.5,167884162,1365684139,1732550849,2603645296,1305852371,1435123364,392513351,
207.5,139588402,1239073509,1436371014,2436007612,1178569241,1285921956,365590750,
208.5,115614222,1121360715,1178917821,2269861329,1060229575,1149196733,341595908,
209.5,95500383,1012272128,958613717,2107379289,950553356,1024863774,319814463,
210.5,78769475,911515258,772855598,1950432209,849248071,912564122,299659154,
211.5,64954309,818778715,618361993,1800555265,756007873,811731631,280712946,
212.5,53616442,733732451,491489822,1658936953,670512995,721657733,262727078,
213.5,44357696,656028506,388500877,1526427353,592429544,641548795,245591417,
214.5,36825913,585302385,305768197,1403561873,521409793,570573632,229293695,
215.5,30716341,521175137,239921173,1290596105,457093034,507900358,213879366,
