Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
0,58.6602,7.51137e+06,3.46684,0,12,True,
1,93.4992,4.71254e+06,3.41325,0,18,True,
2,103.334,4.26402e+06,3.61779,0,4,False,
4,58.3139,7.55598e+06,3.3147,0,2,False,
5,91.4601,4.81761e+06,3.95555,0,10,True,
6,113.388,3.88594e+06,4.60441,0,16,True,
7,102.444,4.30108e+06,4.90529,0,44,True,
8,205.615,2.14293e+06,4.18192,0,4,False,
9,169.277,2.60295e+06,4.17437,0,6,True,
10,72.6628,6.06388e+06,4.47658,0,7,True,
14,118.813,3.70849e+06,3.79893,0,12,True,
15,89.0541,4.94777e+06,3.49017,0,5,True,
17,568.163,775514,3.40054,0,4,False,
19,46818,9411.3,3.15991,0,2,False,
20,67.9972,6.47996e+06,4.03601,0,36,True,
21,174.245,2.52873e+06,3.50378,0,9,True,
22,101.184,4.35465e+06,4.34345,0,27,True,
23,103.186,4.27014e+06,5.35064,0,2,False,
24,306.152,1.43922e+06,5.36073,0,3,False,
25,119.165,3.69757e+06,4.85587,0,94,True,
26,213.331,2.06543e+06,4.50122,0,67,True,
27,115.607,3.81134e+06,5.17033,0,18,True,
28,87.3581,5.04382e+06,5.90469,0,16,True,
30,171.716,2.56597e+06,5.42973,0,43,True,
31,65.4476,6.73239e+06,4.63593,0,5,True,
32,16883.2,26098.1,5.36343,1,2,False,
33,200.596,2.19655e+06,4.94668,0,2,False,
34,963.247,457431,4.9583,12,3,False,
35,257.17,1.71334e+06,5.08893,0,23,True,
36,98.6099,4.4683e+06,6.10122,0,68,True,
37,557.001,791056,5.56283,7,2,False,
38,22300.4,19758.3,5.8525,0,2,False,
39,130.882,3.36654e+06,5.65943,0,43,True,
41,417.944,1.05425e+06,6.29864,0,3,False,
42,285.827,1.54156e+06,5.49254,0,7,True,
43,53.1848,8.28468e+06,5.58591,0,3,False,
44,240.166,1.83464e+06,6.05914,0,2,False,
45,865.89,508862,4.95018,0,2,False,
48,129.665,3.39813e+06,5.20771,0,33,True,
49,174.843,2.52008e+06,6.1714,0,10,True,
